128, 776, 6.06
256, 1536, 6.00
512, 3032, 5.92
1024, 6014, 5.87
2048, 12044, 5.88
4096, 23984, 5.86
8192, 47960, 5.85
16384, 95772, 5.85
128, 778, 6.08
256, 1536, 6.00
512, 3026, 5.91
1024, 6018, 5.88
2048, 12042, 5.88
4096, 24012, 5.86
8192, 47944, 5.85
16384, 95844, 5.85
128, 774, 6.05
256, 1536, 6.00
512, 3028, 5.91
1024, 6024, 5.88
2048, 12050, 5.88
4096, 24020, 5.86
8192, 47908, 5.85
16384, 95790, 5.85
128, 776, 6.06
256, 1536, 6.00
512, 3032, 5.92
1024, 6012, 5.87
2048, 12036, 5.88
4096, 24012, 5.86
8192, 47912, 5.85
16384, 95752, 5.84
128, 774, 6.05
256, 1534, 5.99
512, 3026, 5.91
1024, 6018, 5.88
2048, 12048, 5.88
4096, 23990, 5.86
8192, 47926, 5.85
16384, 95718, 5.84
128, 776, 6.06
256, 1534, 5.99
512, 3032, 5.92
1024, 6022, 5.88
2048, 12054, 5.89
4096, 23994, 5.86
8192, 47934, 5.85
16384, 95840, 5.85
128, 774, 6.05
256, 1534, 5.99
512, 3028, 5.91
1024, 6020, 5.88
2048, 12038, 5.88
4096, 24004, 5.86
8192, 47926, 5.85
16384, 95750, 5.84
128, 774, 6.05
256, 1534, 5.99
512, 3028, 5.91
1024, 6028, 5.89
2048, 12050, 5.88
4096, 24016, 5.86
8192, 47936, 5.85
16384, 95790, 5.85
128, 774, 6.05
256, 1534, 5.99
512, 3032, 5.92
1024, 6022, 5.88
2048, 12040, 5.88
4096, 23994, 5.86
8192, 47918, 5.85
16384, 95792, 5.85
128, 776, 6.06
256, 1538, 6.01
512, 3028, 5.91
1024, 6016, 5.88
2048, 12050, 5.88
4096, 24000, 5.86
8192, 47976, 5.86
16384, 95772, 5.85
128, 774, 6.05
256, 1536, 6.00
512, 3026, 5.91
1024, 6020, 5.88
2048, 12034, 5.88
4096, 23990, 5.86
8192, 47916, 5.85
16384, 95768, 5.85
