128, 1072, 8.38
256, 1072, 4.19
512, 1762, 3.44
1024, 3142, 3.07
2048, 5898, 2.88
4096, 11432, 2.79
8192, 22504, 2.75
16384, 44552, 2.72
128, 1074, 8.39
256, 1072, 4.19
512, 1762, 3.44
1024, 3140, 3.07
2048, 5896, 2.88
4096, 11424, 2.79
8192, 22486, 2.74
16384, 44554, 2.72
128, 1072, 8.38
256, 1072, 4.19
512, 1764, 3.45
1024, 3140, 3.07
2048, 5894, 2.88
4096, 11434, 2.79
8192, 22486, 2.74
16384, 44554, 2.72
128, 1072, 8.38
256, 1074, 4.20
512, 1762, 3.44
1024, 3142, 3.07
2048, 5894, 2.88
4096, 11428, 2.79
8192, 22488, 2.75
16384, 44564, 2.72
128, 1074, 8.39
256, 1074, 4.20
512, 1764, 3.45
1024, 3138, 3.06
2048, 5896, 2.88
4096, 11432, 2.79
8192, 22488, 2.75
16384, 44552, 2.72
128, 1072, 8.38
256, 1074, 4.20
512, 1764, 3.45
1024, 3140, 3.07
2048, 5902, 2.88
4096, 11426, 2.79
8192, 22468, 2.74
16384, 44524, 2.72
128, 1072, 8.38
256, 1072, 4.19
512, 1764, 3.45
1024, 3144, 3.07
2048, 5900, 2.88
4096, 11436, 2.79
8192, 22458, 2.74
16384, 44576, 2.72
128, 1072, 8.38
256, 1072, 4.19
512, 1764, 3.45
1024, 3144, 3.07
2048, 5898, 2.88
4096, 11432, 2.79
8192, 22484, 2.74
16384, 44578, 2.72
128, 1074, 8.39
256, 1072, 4.19
512, 1762, 3.44
1024, 3140, 3.07
2048, 5896, 2.88
4096, 11424, 2.79
8192, 22470, 2.74
16384, 44540, 2.72
128, 1072, 8.38
256, 1074, 4.20
512, 1764, 3.45
1024, 3140, 3.07
2048, 5902, 2.88
4096, 11428, 2.79
8192, 22480, 2.74
16384, 44558, 2.72
128, 1072, 8.38
256, 1072, 4.19
512, 1762, 3.44
1024, 3140, 3.07
2048, 5902, 2.88
4096, 11420, 2.79
8192, 22490, 2.75
16384, 44566, 2.72
