128, 1082, 8.45
256, 1084, 4.23
512, 1090, 2.13
1024, 1792, 1.75
2048, 3200, 1.56
4096, 6008, 1.47
8192, 11622, 1.42
16384, 22892, 1.40
128, 1082, 8.45
256, 1082, 4.23
512, 1090, 2.13
1024, 1792, 1.75
2048, 3200, 1.56
4096, 6010, 1.47
8192, 11628, 1.42
16384, 22890, 1.40
128, 1082, 8.45
256, 1084, 4.23
512, 1088, 2.12
1024, 1794, 1.75
2048, 3198, 1.56
4096, 6004, 1.47
8192, 11624, 1.42
16384, 22878, 1.40
128, 1082, 8.45
256, 1084, 4.23
512, 1088, 2.12
1024, 1794, 1.75
2048, 3196, 1.56
4096, 6006, 1.47
8192, 11630, 1.42
16384, 22902, 1.40
128, 1082, 8.45
256, 1086, 4.24
512, 1088, 2.12
1024, 1792, 1.75
2048, 3196, 1.56
4096, 6004, 1.47
8192, 11628, 1.42
16384, 22900, 1.40
128, 1082, 8.45
256, 1080, 4.22
512, 1090, 2.13
1024, 1792, 1.75
2048, 3200, 1.56
4096, 6002, 1.47
8192, 11622, 1.42
16384, 22900, 1.40
128, 1082, 8.45
256, 1086, 4.24
512, 1090, 2.13
1024, 1792, 1.75
2048, 3196, 1.56
4096, 6004, 1.47
8192, 11632, 1.42
16384, 22890, 1.40
128, 1080, 8.44
256, 1086, 4.24
512, 1088, 2.12
1024, 1794, 1.75
2048, 3192, 1.56
4096, 6008, 1.47
8192, 11622, 1.42
16384, 22900, 1.40
128, 1078, 8.42
256, 1084, 4.23
512, 1088, 2.12
1024, 1794, 1.75
2048, 3198, 1.56
4096, 6002, 1.47
8192, 11632, 1.42
16384, 22902, 1.40
128, 1082, 8.45
256, 1086, 4.24
512, 1088, 2.12
1024, 1788, 1.75
2048, 3198, 1.56
4096, 6004, 1.47
8192, 11634, 1.42
16384, 22892, 1.40
128, 1084, 8.47
256, 1084, 4.23
512, 1090, 2.13
1024, 1794, 1.75
2048, 3198, 1.56
4096, 6008, 1.47
8192, 11624, 1.42
16384, 22890, 1.40
