128, 1076, 8.41
256, 1078, 4.21
512, 1768, 3.45
1024, 3150, 3.08
2048, 5914, 2.89
4096, 11448, 2.79
8192, 22522, 2.75
16384, 44638, 2.72
128, 1076, 8.41
256, 1078, 4.21
512, 1770, 3.46
1024, 3152, 3.08
2048, 5912, 2.89
4096, 11444, 2.79
8192, 22524, 2.75
16384, 44630, 2.72
128, 1078, 8.42
256, 1078, 4.21
512, 1770, 3.46
1024, 3150, 3.08
2048, 5912, 2.89
4096, 11444, 2.79
8192, 22518, 2.75
16384, 44636, 2.72
128, 1078, 8.42
256, 1078, 4.21
512, 1770, 3.46
1024, 3150, 3.08
2048, 5914, 2.89
4096, 11446, 2.79
8192, 22518, 2.75
16384, 44636, 2.72
128, 1076, 8.41
256, 1080, 4.22
512, 1768, 3.45
1024, 3152, 3.08
2048, 5914, 2.89
4096, 11446, 2.79
8192, 22518, 2.75
16384, 44634, 2.72
128, 1078, 8.42
256, 1078, 4.21
512, 1770, 3.46
1024, 3152, 3.08
2048, 5912, 2.89
4096, 11448, 2.79
8192, 22516, 2.75
16384, 44638, 2.72
128, 1076, 8.41
256, 1080, 4.22
512, 1770, 3.46
1024, 3150, 3.08
2048, 5914, 2.89
4096, 11448, 2.79
8192, 22522, 2.75
16384, 44634, 2.72
128, 1076, 8.41
256, 1078, 4.21
512, 1770, 3.46
1024, 3150, 3.08
2048, 5916, 2.89
4096, 11450, 2.80
8192, 22516, 2.75
16384, 44636, 2.72
128, 1076, 8.41
256, 1076, 4.20
512, 1770, 3.46
1024, 3150, 3.08
2048, 5914, 2.89
4096, 11446, 2.79
8192, 22522, 2.75
16384, 44634, 2.72
128, 1076, 8.41
256, 1076, 4.20
512, 1770, 3.46
1024, 3152, 3.08
2048, 5914, 2.89
4096, 11444, 2.79
8192, 22518, 2.75
16384, 44634, 2.72
128, 1076, 8.41
256, 1078, 4.21
512, 1770, 3.46
1024, 3152, 3.08
2048, 5914, 2.89
4096, 11448, 2.79
8192, 22522, 2.75
16384, 44638, 2.72
