128, 1130, 8.83
256, 1880, 7.34
512, 3364, 6.57
1024, 6358, 6.21
2048, 12380, 6.04
4096, 24332, 5.94
8192, 48320, 5.90
16384, 96092, 5.86
128, 1132, 8.84
256, 1880, 7.34
512, 3374, 6.59
1024, 6366, 6.22
2048, 12370, 6.04
4096, 24404, 5.96
8192, 48190, 5.88
16384, 96102, 5.87
128, 1130, 8.83
256, 1884, 7.36
512, 3372, 6.59
1024, 6352, 6.20
2048, 12400, 6.05
4096, 24348, 5.94
8192, 48340, 5.90
16384, 96210, 5.87
128, 1134, 8.86
256, 1880, 7.34
512, 3380, 6.60
1024, 6364, 6.21
2048, 12390, 6.05
4096, 24352, 5.95
8192, 48174, 5.88
16384, 96160, 5.87
128, 1132, 8.84
256, 1874, 7.32
512, 3374, 6.59
1024, 6346, 6.20
2048, 12386, 6.05
4096, 24388, 5.95
8192, 48296, 5.90
16384, 96054, 5.86
128, 1132, 8.84
256, 1876, 7.33
512, 3380, 6.60
1024, 6388, 6.24
2048, 12386, 6.05
4096, 24312, 5.94
8192, 48374, 5.91
16384, 96008, 5.86
128, 1128, 8.81
256, 1876, 7.33
512, 3364, 6.57
1024, 6362, 6.21
2048, 12358, 6.03
4096, 24368, 5.95
8192, 48192, 5.88
16384, 96190, 5.87
128, 1130, 8.83
256, 1882, 7.35
512, 3374, 6.59
1024, 6344, 6.20
2048, 12360, 6.04
4096, 24390, 5.95
8192, 48324, 5.90
16384, 96210, 5.87
128, 1130, 8.83
256, 1878, 7.34
512, 3364, 6.57
1024, 6368, 6.22
2048, 12366, 6.04
4096, 24306, 5.93
8192, 48284, 5.89
16384, 96134, 5.87
128, 1130, 8.83
256, 1876, 7.33
512, 3362, 6.57
1024, 6358, 6.21
2048, 12378, 6.04
4096, 24310, 5.94
8192, 48258, 5.89
16384, 96122, 5.87
128, 1132, 8.84
256, 1874, 7.32
512, 3380, 6.60
1024, 6364, 6.21
2048, 12372, 6.04
4096, 24324, 5.94
8192, 48330, 5.90
16384, 96272, 5.88
