128, 1140, 8.91
256, 1892, 7.39
512, 3400, 6.64
1024, 6420, 6.27
2048, 12516, 6.11
4096, 24602, 6.01
8192, 48766, 5.95
16384, 97024, 5.92
128, 1140, 8.91
256, 1896, 7.41
512, 3398, 6.64
1024, 6424, 6.27
2048, 12506, 6.11
4096, 24598, 6.01
8192, 48774, 5.95
16384, 97042, 5.92
128, 1138, 8.89
256, 1894, 7.40
512, 3406, 6.65
1024, 6418, 6.27
2048, 12522, 6.11
4096, 24594, 6.00
8192, 48730, 5.95
16384, 97044, 5.92
128, 1140, 8.91
256, 1894, 7.40
512, 3406, 6.65
1024, 6418, 6.27
2048, 12524, 6.12
4096, 24580, 6.00
8192, 48760, 5.95
16384, 97080, 5.93
128, 1136, 8.88
256, 1894, 7.40
512, 3404, 6.65
1024, 6426, 6.28
2048, 12524, 6.12
4096, 24580, 6.00
8192, 48702, 5.95
16384, 97024, 5.92
128, 1138, 8.89
256, 1896, 7.41
512, 3406, 6.65
1024, 6418, 6.27
2048, 12502, 6.10
4096, 24570, 6.00
8192, 48716, 5.95
16384, 97004, 5.92
128, 1138, 8.89
256, 1898, 7.41
512, 3404, 6.65
1024, 6422, 6.27
2048, 12512, 6.11
4096, 24602, 6.01
8192, 48738, 5.95
16384, 97060, 5.92
128, 1138, 8.89
256, 1896, 7.41
512, 3404, 6.65
1024, 6420, 6.27
2048, 12522, 6.11
4096, 24576, 6.00
8192, 48766, 5.95
16384, 97072, 5.92
128, 1138, 8.89
256, 1892, 7.39
512, 3404, 6.65
1024, 6422, 6.27
2048, 12516, 6.11
4096, 24556, 6.00
8192, 48758, 5.95
16384, 97010, 5.92
128, 1140, 8.91
256, 1894, 7.40
512, 3400, 6.64
1024, 6426, 6.28
2048, 12500, 6.10
4096, 24592, 6.00
8192, 48730, 5.95
16384, 97072, 5.92
128, 1140, 8.91
256, 1890, 7.38
512, 3406, 6.65
1024, 6422, 6.27
2048, 12518, 6.11
4096, 24610, 6.01
8192, 48754, 5.95
16384, 97092, 5.93
