128, 3038, 23.73
256, 4950, 19.34
512, 8586, 16.77
1024, 15768, 15.40
2048, 30098, 14.70
4096, 58466, 14.27
8192, 115540, 14.10
16384, 229688, 14.02
128, 3032, 23.69
256, 4916, 19.20
512, 8554, 16.71
1024, 15738, 15.37
2048, 29968, 14.63
4096, 58526, 14.29
8192, 115536, 14.10
16384, 229754, 14.02
128, 3036, 23.72
256, 4934, 19.27
512, 8526, 16.65
1024, 15738, 15.37
2048, 30106, 14.70
4096, 58636, 14.32
8192, 115556, 14.11
16384, 229684, 14.02
128, 3038, 23.73
256, 4904, 19.16
512, 8570, 16.74
1024, 15756, 15.39
2048, 30136, 14.71
4096, 58602, 14.31
8192, 115566, 14.11
16384, 229730, 14.02
128, 3038, 23.73
256, 4934, 19.27
512, 8498, 16.60
1024, 15738, 15.37
2048, 30128, 14.71
4096, 58474, 14.28
8192, 115560, 14.11
16384, 229696, 14.02
128, 3038, 23.73
256, 4968, 19.41
512, 8560, 16.72
1024, 15750, 15.38
2048, 30026, 14.66
4096, 58492, 14.28
8192, 115526, 14.10
16384, 229662, 14.02
128, 3036, 23.72
256, 4932, 19.27
512, 8548, 16.70
1024, 15754, 15.38
2048, 30180, 14.74
4096, 58692, 14.33
8192, 115566, 14.11
16384, 229698, 14.02
128, 3040, 23.75
256, 4948, 19.33
512, 8534, 16.67
1024, 15712, 15.34
2048, 30078, 14.69
4096, 58626, 14.31
8192, 115576, 14.11
16384, 229684, 14.02
128, 3036, 23.72
256, 4922, 19.23
512, 8584, 16.77
1024, 15736, 15.37
2048, 30106, 14.70
4096, 58802, 14.36
8192, 115544, 14.10
16384, 229738, 14.02
128, 3036, 23.72
256, 4916, 19.20
512, 8516, 16.63
1024, 15746, 15.38
2048, 30076, 14.69
4096, 58814, 14.36
8192, 115554, 14.11
16384, 229758, 14.02
128, 3038, 23.73
256, 4990, 19.49
512, 8582, 16.76
1024, 15726, 15.36
2048, 30020, 14.66
4096, 58514, 14.29
8192, 115564, 14.11
16384, 229684, 14.02
