128, 174, 1.36
256, 312, 1.22
512, 606, 1.18
1024, 1058, 1.03
2048, 1928, 0.94
4096, 3710, 0.91
8192, 7204, 0.88
16384, 14230, 0.87
128, 174, 1.36
256, 328, 1.28
512, 604, 1.18
1024, 1068, 1.04
2048, 1948, 0.95
4096, 3700, 0.90
8192, 7206, 0.88
16384, 14242, 0.87
128, 174, 1.36
256, 328, 1.28
512, 602, 1.18
1024, 1068, 1.04
2048, 1942, 0.95
4096, 3698, 0.90
8192, 7204, 0.88
16384, 14238, 0.87
128, 174, 1.36
256, 332, 1.30
512, 602, 1.18
1024, 1068, 1.04
2048, 1950, 0.95
4096, 3698, 0.90
8192, 7184, 0.88
16384, 14198, 0.87
128, 176, 1.38
256, 312, 1.22
512, 606, 1.18
1024, 1066, 1.04
2048, 1948, 0.95
4096, 3712, 0.91
8192, 7216, 0.88
16384, 14274, 0.87
128, 172, 1.34
256, 306, 1.20
512, 598, 1.17
1024, 1062, 1.04
2048, 1948, 0.95
4096, 3692, 0.90
8192, 7202, 0.88
16384, 14240, 0.87
128, 174, 1.36
256, 332, 1.30
512, 602, 1.18
1024, 1056, 1.03
2048, 1938, 0.95
4096, 3694, 0.90
8192, 7218, 0.88
16384, 14244, 0.87
128, 176, 1.38
256, 330, 1.29
512, 602, 1.18
1024, 1074, 1.05
2048, 1932, 0.94
4096, 3698, 0.90
8192, 7204, 0.88
16384, 14250, 0.87
128, 176, 1.38
256, 328, 1.28
512, 602, 1.18
1024, 1064, 1.04
2048, 1940, 0.95
4096, 3714, 0.91
8192, 7220, 0.88
16384, 14244, 0.87
128, 172, 1.34
256, 310, 1.21
512, 602, 1.18
1024, 1066, 1.04
2048, 1936, 0.95
4096, 3714, 0.91
8192, 7226, 0.88
16384, 14236, 0.87
128, 174, 1.36
256, 328, 1.28
512, 606, 1.18
1024, 1058, 1.03
2048, 1954, 0.95
4096, 3706, 0.90
8192, 7210, 0.88
16384, 14234, 0.87
