128, 176, 1.38
256, 314, 1.23
512, 604, 1.18
1024, 1078, 1.05
2048, 1942, 0.95
4096, 3704, 0.90
8192, 7228, 0.88
16384, 14260, 0.87
128, 176, 1.38
256, 314, 1.23
512, 604, 1.18
1024, 1070, 1.04
2048, 1954, 0.95
4096, 3702, 0.90
8192, 7218, 0.88
16384, 14242, 0.87
128, 180, 1.41
256, 312, 1.22
512, 602, 1.18
1024, 1080, 1.05
2048, 1942, 0.95
4096, 3708, 0.91
8192, 7224, 0.88
16384, 14258, 0.87
128, 180, 1.41
256, 312, 1.22
512, 602, 1.18
1024, 1064, 1.04
2048, 1948, 0.95
4096, 3692, 0.90
8192, 7218, 0.88
16384, 14264, 0.87
128, 176, 1.38
256, 312, 1.22
512, 602, 1.18
1024, 1072, 1.05
2048, 1948, 0.95
4096, 3708, 0.91
8192, 7224, 0.88
16384, 14262, 0.87
128, 178, 1.39
256, 312, 1.22
512, 606, 1.18
1024, 1066, 1.04
2048, 1952, 0.95
4096, 3712, 0.91
8192, 7210, 0.88
16384, 14260, 0.87
128, 178, 1.39
256, 314, 1.23
512, 602, 1.18
1024, 1076, 1.05
2048, 1948, 0.95
4096, 3720, 0.91
8192, 7220, 0.88
16384, 14248, 0.87
128, 180, 1.41
256, 310, 1.21
512, 600, 1.17
1024, 1070, 1.04
2048, 1954, 0.95
4096, 3712, 0.91
8192, 7228, 0.88
16384, 14240, 0.87
128, 176, 1.38
256, 314, 1.23
512, 602, 1.18
1024, 1070, 1.04
2048, 1956, 0.96
4096, 3702, 0.90
8192, 7222, 0.88
16384, 14252, 0.87
128, 182, 1.42
256, 314, 1.23
512, 602, 1.18
1024, 1072, 1.05
2048, 1954, 0.95
4096, 3716, 0.91
8192, 7230, 0.88
16384, 14248, 0.87
128, 176, 1.38
256, 316, 1.23
512, 602, 1.18
1024, 1068, 1.04
2048, 1948, 0.95
4096, 3718, 0.91
8192, 7214, 0.88
16384, 14246, 0.87
