128, 1238, 9.67
256, 2062, 8.05
512, 3042, 5.94
1024, 4894, 4.78
2048, 8544, 4.17
4096, 15846, 3.87
8192, 30462, 3.72
16384, 59664, 3.64
128, 1240, 9.69
256, 2054, 8.02
512, 3044, 5.95
1024, 4892, 4.78
2048, 8540, 4.17
4096, 15842, 3.87
8192, 30462, 3.72
16384, 59654, 3.64
128, 1238, 9.67
256, 2058, 8.04
512, 3044, 5.95
1024, 4894, 4.78
2048, 8544, 4.17
4096, 15846, 3.87
8192, 30454, 3.72
16384, 59658, 3.64
128, 1238, 9.67
256, 2056, 8.03
512, 3044, 5.95
1024, 4896, 4.78
2048, 8544, 4.17
4096, 15844, 3.87
8192, 30466, 3.72
16384, 59656, 3.64
128, 1238, 9.67
256, 2058, 8.04
512, 3044, 5.95
1024, 4896, 4.78
2048, 8546, 4.17
4096, 15844, 3.87
8192, 30464, 3.72
16384, 59666, 3.64
128, 1238, 9.67
256, 2064, 8.06
512, 3042, 5.94
1024, 4892, 4.78
2048, 8542, 4.17
4096, 15850, 3.87
8192, 30452, 3.72
16384, 59656, 3.64
128, 1240, 9.69
256, 2058, 8.04
512, 3044, 5.95
1024, 4890, 4.78
2048, 8544, 4.17
4096, 15842, 3.87
8192, 30456, 3.72
16384, 59652, 3.64
128, 1238, 9.67
256, 2056, 8.03
512, 3042, 5.94
1024, 4892, 4.78
2048, 8540, 4.17
4096, 15846, 3.87
8192, 30452, 3.72
16384, 59662, 3.64
128, 1236, 9.66
256, 2056, 8.03
512, 3042, 5.94
1024, 4888, 4.77
2048, 8542, 4.17
4096, 15852, 3.87
8192, 30452, 3.72
16384, 59640, 3.64
128, 1240, 9.69
256, 2052, 8.02
512, 3044, 5.95
1024, 4892, 4.78
2048, 8542, 4.17
4096, 15850, 3.87
8192, 30452, 3.72
16384, 59656, 3.64
128, 1238, 9.67
256, 2060, 8.05
512, 3042, 5.94
1024, 4890, 4.78
2048, 8542, 4.17
4096, 15858, 3.87
8192, 30462, 3.72
16384, 59658, 3.64
