128, 2060, 16.09
256, 2180, 8.52
512, 3028, 5.91
1024, 4008, 3.91
2048, 5966, 2.91
4096, 9884, 2.41
8192, 17716, 2.16
16384, 33396, 2.04
128, 2050, 16.02
256, 2184, 8.53
512, 3022, 5.90
1024, 4002, 3.91
2048, 5968, 2.91
4096, 9884, 2.41
8192, 17708, 2.16
16384, 33384, 2.04
128, 2060, 16.09
256, 2182, 8.52
512, 3028, 5.91
1024, 4004, 3.91
2048, 5966, 2.91
4096, 9878, 2.41
8192, 17716, 2.16
16384, 33394, 2.04
128, 2056, 16.06
256, 2190, 8.55
512, 3030, 5.92
1024, 4004, 3.91
2048, 5960, 2.91
4096, 9886, 2.41
8192, 17718, 2.16
16384, 33410, 2.04
128, 2058, 16.08
256, 2180, 8.52
512, 3024, 5.91
1024, 4006, 3.91
2048, 5958, 2.91
4096, 9884, 2.41
8192, 17728, 2.16
16384, 33414, 2.04
128, 2056, 16.06
256, 2184, 8.53
512, 3024, 5.91
1024, 4004, 3.91
2048, 5966, 2.91
4096, 9892, 2.42
8192, 17716, 2.16
16384, 33394, 2.04
128, 2060, 16.09
256, 2186, 8.54
512, 3022, 5.90
1024, 4000, 3.91
2048, 5962, 2.91
4096, 9882, 2.41
8192, 17712, 2.16
16384, 33394, 2.04
128, 2052, 16.03
256, 2182, 8.52
512, 3018, 5.89
1024, 4004, 3.91
2048, 5966, 2.91
4096, 9876, 2.41
8192, 17720, 2.16
16384, 33400, 2.04
128, 2058, 16.08
256, 2180, 8.52
512, 3026, 5.91
1024, 4006, 3.91
2048, 5960, 2.91
4096, 9882, 2.41
8192, 17720, 2.16
16384, 33394, 2.04
128, 2056, 16.06
256, 2180, 8.52
512, 3020, 5.90
1024, 4002, 3.91
2048, 5960, 2.91
4096, 9878, 2.41
8192, 17708, 2.16
16384, 33390, 2.04
128, 2060, 16.09
256, 2184, 8.53
512, 3022, 5.90
1024, 4010, 3.92
2048, 5964, 2.91
4096, 9880, 2.41
8192, 17718, 2.16
16384, 33386, 2.04
