128, 2032, 15.88
256, 2854, 11.15
512, 3824, 7.47
1024, 5690, 5.56
2048, 9342, 4.56
4096, 16648, 4.06
8192, 31266, 3.82
16384, 60462, 3.69
128, 2038, 15.92
256, 2858, 11.16
512, 3824, 7.47
1024, 5694, 5.56
2048, 9342, 4.56
4096, 16642, 4.06
8192, 31264, 3.82
16384, 60466, 3.69
128, 2026, 15.83
256, 2860, 11.17
512, 3832, 7.48
1024, 5692, 5.56
2048, 9346, 4.56
4096, 16648, 4.06
8192, 31270, 3.82
16384, 60474, 3.69
128, 2028, 15.84
256, 2862, 11.18
512, 3828, 7.48
1024, 5692, 5.56
2048, 9340, 4.56
4096, 16650, 4.06
8192, 31266, 3.82
16384, 60466, 3.69
128, 2034, 15.89
256, 2860, 11.17
512, 3828, 7.48
1024, 5690, 5.56
2048, 9344, 4.56
4096, 16646, 4.06
8192, 31264, 3.82
16384, 60468, 3.69
128, 2028, 15.84
256, 2854, 11.15
512, 3828, 7.48
1024, 5690, 5.56
2048, 9346, 4.56
4096, 16646, 4.06
8192, 31272, 3.82
16384, 60468, 3.69
128, 2032, 15.88
256, 2858, 11.16
512, 3826, 7.47
1024, 5692, 5.56
2048, 9342, 4.56
4096, 16646, 4.06
8192, 31268, 3.82
16384, 60474, 3.69
128, 2034, 15.89
256, 2854, 11.15
512, 3828, 7.48
1024, 5692, 5.56
2048, 9342, 4.56
4096, 16650, 4.06
8192, 31268, 3.82
16384, 60472, 3.69
128, 2032, 15.88
256, 2856, 11.16
512, 3830, 7.48
1024, 5692, 5.56
2048, 9342, 4.56
4096, 16650, 4.06
8192, 31260, 3.82
16384, 60476, 3.69
128, 2024, 15.81
256, 2858, 11.16
512, 3826, 7.47
1024, 5688, 5.55
2048, 9344, 4.56
4096, 16644, 4.06
8192, 31274, 3.82
16384, 60474, 3.69
128, 2026, 15.83
256, 2858, 11.16
512, 3826, 7.47
1024, 5692, 5.56
2048, 9344, 4.56
4096, 16646, 4.06
8192, 31266, 3.82
16384, 60472, 3.69
