128, 1698, 13.27
256, 2586, 10.10
512, 4360, 8.52
1024, 7892, 7.71
2048, 14978, 7.31
4096, 29104, 7.11
8192, 57382, 7.00
16384, 113900, 6.95
128, 1694, 13.23
256, 2580, 10.08
512, 4354, 8.50
1024, 7884, 7.70
2048, 14998, 7.32
4096, 29116, 7.11
8192, 57384, 7.00
16384, 113936, 6.95
128, 1692, 13.22
256, 2582, 10.09
512, 4354, 8.50
1024, 7890, 7.71
2048, 14986, 7.32
4096, 29098, 7.10
8192, 57390, 7.01
16384, 113896, 6.95
128, 1694, 13.23
256, 2584, 10.09
512, 4356, 8.51
1024, 7888, 7.70
2048, 14978, 7.31
4096, 29116, 7.11
8192, 57364, 7.00
16384, 113952, 6.96
128, 1688, 13.19
256, 2586, 10.10
512, 4362, 8.52
1024, 7890, 7.71
2048, 14980, 7.31
4096, 29120, 7.11
8192, 57422, 7.01
16384, 113894, 6.95
128, 1692, 13.22
256, 2582, 10.09
512, 4352, 8.50
1024, 7888, 7.70
2048, 14976, 7.31
4096, 29106, 7.11
8192, 57368, 7.00
16384, 113902, 6.95
128, 1694, 13.23
256, 2582, 10.09
512, 4354, 8.50
1024, 7886, 7.70
2048, 14978, 7.31
4096, 29110, 7.11
8192, 57380, 7.00
16384, 113890, 6.95
128, 1692, 13.22
256, 2584, 10.09
512, 4354, 8.50
1024, 7896, 7.71
2048, 14984, 7.32
4096, 29106, 7.11
8192, 57386, 7.01
16384, 113900, 6.95
128, 1692, 13.22
256, 2582, 10.09
512, 4356, 8.51
1024, 7884, 7.70
2048, 14968, 7.31
4096, 29118, 7.11
8192, 57380, 7.00
16384, 113910, 6.95
128, 1694, 13.23
256, 2580, 10.08
512, 4360, 8.52
1024, 7884, 7.70
2048, 14968, 7.31
4096, 29116, 7.11
8192, 57362, 7.00
16384, 113902, 6.95
128, 1690, 13.20
256, 2582, 10.09
512, 4360, 8.52
1024, 7894, 7.71
2048, 14980, 7.31
4096, 29112, 7.11
8192, 57390, 7.01
16384, 113950, 6.95
