128, 2460, 19.22
256, 3350, 13.09
512, 5122, 10.00
1024, 8660, 8.46
2048, 15768, 7.70
4096, 29926, 7.31
8192, 58170, 7.10
16384, 114720, 7.00
128, 2462, 19.23
256, 3350, 13.09
512, 5130, 10.02
1024, 8658, 8.46
2048, 15762, 7.70
4096, 29908, 7.30
8192, 58164, 7.10
16384, 114728, 7.00
128, 2468, 19.28
256, 3348, 13.08
512, 5124, 10.01
1024, 8666, 8.46
2048, 15750, 7.69
4096, 29906, 7.30
8192, 58180, 7.10
16384, 114702, 7.00
128, 2464, 19.25
256, 3354, 13.10
512, 5120, 10.00
1024, 8668, 8.46
2048, 15778, 7.70
4096, 29906, 7.30
8192, 58160, 7.10
16384, 114710, 7.00
128, 2466, 19.27
256, 3346, 13.07
512, 5120, 10.00
1024, 8658, 8.46
2048, 15768, 7.70
4096, 29906, 7.30
8192, 58160, 7.10
16384, 114692, 7.00
128, 2460, 19.22
256, 3352, 13.09
512, 5128, 10.02
1024, 8654, 8.45
2048, 15764, 7.70
4096, 29904, 7.30
8192, 58178, 7.10
16384, 114714, 7.00
128, 2460, 19.22
256, 3352, 13.09
512, 5124, 10.01
1024, 8668, 8.46
2048, 15764, 7.70
4096, 29902, 7.30
8192, 58186, 7.10
16384, 114690, 7.00
128, 2466, 19.27
256, 3350, 13.09
512, 5124, 10.01
1024, 8664, 8.46
2048, 15756, 7.69
4096, 29908, 7.30
8192, 58160, 7.10
16384, 114702, 7.00
128, 2466, 19.27
256, 3352, 13.09
512, 5122, 10.00
1024, 8668, 8.46
2048, 15760, 7.70
4096, 29900, 7.30
8192, 58154, 7.10
16384, 114726, 7.00
128, 2460, 19.22
256, 3352, 13.09
512, 5120, 10.00
1024, 8664, 8.46
2048, 15764, 7.70
4096, 29908, 7.30
8192, 58172, 7.10
16384, 114688, 7.00
128, 2462, 19.23
256, 3348, 13.08
512, 5120, 10.00
1024, 8664, 8.46
2048, 15754, 7.69
4096, 29898, 7.30
8192, 58154, 7.10
16384, 114688, 7.00
