128, 968, 7.56
256, 1102, 4.30
512, 1374, 2.68
1024, 1924, 1.88
2048, 3016, 1.47
4096, 5210, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
128, 964, 7.53
256, 1104, 4.31
512, 1374, 2.68
1024, 1922, 1.88
2048, 3020, 1.47
4096, 5210, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
128, 968, 7.56
256, 1106, 4.32
512, 1374, 2.68
1024, 1920, 1.88
2048, 3018, 1.47
4096, 5206, 1.27
8192, 9586, 1.17
16384, 18342, 1.12
128, 964, 7.53
256, 1102, 4.30
512, 1378, 2.69
1024, 1928, 1.88
2048, 3020, 1.47
4096, 5204, 1.27
8192, 9586, 1.17
16384, 18344, 1.12
128, 962, 7.52
256, 1106, 4.32
512, 1378, 2.69
1024, 1922, 1.88
2048, 3016, 1.47
4096, 5208, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
128, 968, 7.56
256, 1100, 4.30
512, 1374, 2.68
1024, 1928, 1.88
2048, 3022, 1.48
4096, 5210, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
128, 968, 7.56
256, 1100, 4.30
512, 1374, 2.68
1024, 1920, 1.88
2048, 3018, 1.47
4096, 5208, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
128, 964, 7.53
256, 1104, 4.31
512, 1374, 2.68
1024, 1926, 1.88
2048, 3018, 1.47
4096, 5212, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
128, 968, 7.56
256, 1106, 4.32
512, 1374, 2.68
1024, 1928, 1.88
2048, 3020, 1.47
4096, 5208, 1.27
8192, 9586, 1.17
16384, 18344, 1.12
128, 966, 7.55
256, 1100, 4.30
512, 1376, 2.69
1024, 1928, 1.88
2048, 3020, 1.47
4096, 5208, 1.27
8192, 9586, 1.17
16384, 18344, 1.12
128, 968, 7.56
256, 1096, 4.28
512, 1376, 2.69
1024, 1922, 1.88
2048, 3020, 1.47
4096, 5204, 1.27
8192, 9588, 1.17
16384, 18344, 1.12
