128, 512, 4.00
256, 964, 3.77
512, 1874, 3.66
1024, 3676, 3.59
2048, 7302, 3.57
4096, 14554, 3.55
8192, 29022, 3.54
16384, 57956, 3.54
128, 516, 4.03
256, 964, 3.77
512, 1870, 3.65
1024, 3674, 3.59
2048, 7302, 3.57
4096, 14560, 3.55
8192, 29016, 3.54
16384, 58006, 3.54
128, 512, 4.00
256, 964, 3.77
512, 1890, 3.69
1024, 3678, 3.59
2048, 7290, 3.56
4096, 14528, 3.55
8192, 29038, 3.54
16384, 57960, 3.54
128, 514, 4.02
256, 966, 3.77
512, 1868, 3.65
1024, 3674, 3.59
2048, 7316, 3.57
4096, 14564, 3.56
8192, 29038, 3.54
16384, 57932, 3.54
128, 510, 3.98
256, 968, 3.78
512, 1870, 3.65
1024, 3686, 3.60
2048, 7292, 3.56
4096, 14554, 3.55
8192, 29044, 3.55
16384, 57946, 3.54
128, 512, 4.00
256, 968, 3.78
512, 1876, 3.66
1024, 3676, 3.59
2048, 7294, 3.56
4096, 14570, 3.56
8192, 29040, 3.54
16384, 57974, 3.54
128, 512, 4.00
256, 962, 3.76
512, 1872, 3.66
1024, 3732, 3.64
2048, 7294, 3.56
4096, 14566, 3.56
8192, 29026, 3.54
16384, 57986, 3.54
128, 510, 3.98
256, 966, 3.77
512, 1870, 3.65
1024, 3682, 3.60
2048, 7320, 3.57
4096, 14626, 3.57
8192, 29020, 3.54
16384, 57986, 3.54
128, 512, 4.00
256, 966, 3.77
512, 1870, 3.65
1024, 3690, 3.60
2048, 7292, 3.56
4096, 14554, 3.55
8192, 29038, 3.54
16384, 57918, 3.54
128, 516, 4.03
256, 962, 3.76
512, 1864, 3.64
1024, 3680, 3.59
2048, 7306, 3.57
4096, 14562, 3.56
8192, 29040, 3.54
16384, 57996, 3.54
128, 514, 4.02
256, 968, 3.78
512, 1874, 3.66
1024, 3668, 3.58
2048, 7300, 3.56
4096, 14558, 3.55
8192, 29030, 3.54
16384, 57988, 3.54
