128, 526, 4.11
256, 976, 3.81
512, 1890, 3.69
1024, 3720, 3.63
2048, 7384, 3.61
4096, 14736, 3.60
8192, 29430, 3.59
16384, 58750, 3.59
128, 518, 4.05
256, 988, 3.86
512, 1888, 3.69
1024, 3722, 3.63
2048, 7382, 3.60
4096, 14752, 3.60
8192, 29402, 3.59
16384, 58698, 3.58
128, 518, 4.05
256, 982, 3.84
512, 1896, 3.70
1024, 3732, 3.64
2048, 7394, 3.61
4096, 14768, 3.61
8192, 29416, 3.59
16384, 58820, 3.59
128, 522, 4.08
256, 978, 3.82
512, 1898, 3.71
1024, 3734, 3.65
2048, 7400, 3.61
4096, 14748, 3.60
8192, 29414, 3.59
16384, 58716, 3.58
128, 520, 4.06
256, 976, 3.81
512, 1892, 3.70
1024, 3728, 3.64
2048, 7392, 3.61
4096, 14746, 3.60
8192, 29408, 3.59
16384, 58776, 3.59
128, 514, 4.02
256, 982, 3.84
512, 1892, 3.70
1024, 3728, 3.64
2048, 7384, 3.61
4096, 14760, 3.60
8192, 29406, 3.59
16384, 58726, 3.58
128, 516, 4.03
256, 976, 3.81
512, 1890, 3.69
1024, 3728, 3.64
2048, 7386, 3.61
4096, 14768, 3.61
8192, 29408, 3.59
16384, 58666, 3.58
128, 524, 4.09
256, 982, 3.84
512, 1894, 3.70
1024, 3740, 3.65
2048, 7400, 3.61
4096, 14770, 3.61
8192, 29388, 3.59
16384, 58726, 3.58
128, 518, 4.05
256, 982, 3.84
512, 1890, 3.69
1024, 3714, 3.63
2048, 7414, 3.62
4096, 14752, 3.60
8192, 29396, 3.59
16384, 58710, 3.58
128, 520, 4.06
256, 980, 3.83
512, 1900, 3.71
1024, 3744, 3.66
2048, 7398, 3.61
4096, 14758, 3.60
8192, 29428, 3.59
16384, 58688, 3.58
128, 522, 4.08
256, 982, 3.84
512, 1892, 3.70
1024, 3726, 3.64
2048, 7374, 3.60
4096, 14766, 3.60
8192, 29418, 3.59
16384, 58732, 3.58
