128, 776, 6.06
256, 664, 2.59
512, 1264, 2.47
1024, 2466, 2.41
2048, 4868, 2.38
4096, 9680, 2.36
8192, 19322, 2.36
16384, 38530, 2.35
128, 774, 6.05
256, 664, 2.59
512, 1270, 2.48
1024, 2470, 2.41
2048, 4866, 2.38
4096, 9676, 2.36
8192, 19296, 2.36
16384, 38510, 2.35
128, 772, 6.03
256, 660, 2.58
512, 1270, 2.48
1024, 2470, 2.41
2048, 4868, 2.38
4096, 9678, 2.36
8192, 19310, 2.36
16384, 38532, 2.35
128, 778, 6.08
256, 664, 2.59
512, 1268, 2.48
1024, 2468, 2.41
2048, 4870, 2.38
4096, 9676, 2.36
8192, 19302, 2.36
16384, 38522, 2.35
128, 780, 6.09
256, 666, 2.60
512, 1268, 2.48
1024, 2468, 2.41
2048, 4864, 2.38
4096, 9676, 2.36
8192, 19296, 2.36
16384, 38534, 2.35
128, 774, 6.05
256, 664, 2.59
512, 1270, 2.48
1024, 2466, 2.41
2048, 4868, 2.38
4096, 9680, 2.36
8192, 19308, 2.36
16384, 38524, 2.35
128, 776, 6.06
256, 664, 2.59
512, 1270, 2.48
1024, 2468, 2.41
2048, 4872, 2.38
4096, 9676, 2.36
8192, 19302, 2.36
16384, 38532, 2.35
128, 768, 6.00
256, 664, 2.59
512, 1268, 2.48
1024, 2464, 2.41
2048, 4870, 2.38
4096, 9680, 2.36
8192, 19314, 2.36
16384, 38540, 2.35
128, 776, 6.06
256, 666, 2.60
512, 1268, 2.48
1024, 2470, 2.41
2048, 4872, 2.38
4096, 9678, 2.36
8192, 19318, 2.36
16384, 38546, 2.35
128, 784, 6.12
256, 664, 2.59
512, 1268, 2.48
1024, 2468, 2.41
2048, 4868, 2.38
4096, 9680, 2.36
8192, 19308, 2.36
16384, 38542, 2.35
128, 774, 6.05
256, 664, 2.59
512, 1264, 2.47
1024, 2468, 2.41
2048, 4872, 2.38
4096, 9672, 2.36
8192, 19312, 2.36
16384, 38544, 2.35
