128, 806, 6.30
256, 1550, 6.05
512, 3030, 5.92
1024, 5988, 5.85
2048, 11958, 5.84
4096, 23778, 5.81
8192, 47400, 5.79
16384, 94878, 5.79
128, 804, 6.28
256, 1548, 6.05
512, 3030, 5.92
1024, 5998, 5.86
2048, 11922, 5.82
4096, 23766, 5.80
8192, 47424, 5.79
16384, 94796, 5.79
128, 802, 6.27
256, 1554, 6.07
512, 3032, 5.92
1024, 5998, 5.86
2048, 11928, 5.82
4096, 23780, 5.81
8192, 47406, 5.79
16384, 94808, 5.79
128, 798, 6.23
256, 1546, 6.04
512, 3046, 5.95
1024, 6000, 5.86
2048, 11952, 5.84
4096, 23782, 5.81
8192, 47432, 5.79
16384, 94778, 5.78
128, 800, 6.25
256, 1550, 6.05
512, 3034, 5.93
1024, 5980, 5.84
2048, 11928, 5.82
4096, 23756, 5.80
8192, 47452, 5.79
16384, 94774, 5.78
128, 802, 6.27
256, 1548, 6.05
512, 3030, 5.92
1024, 6000, 5.86
2048, 11934, 5.83
4096, 23766, 5.80
8192, 47438, 5.79
16384, 94760, 5.78
128, 800, 6.25
256, 1550, 6.05
512, 3030, 5.92
1024, 6002, 5.86
2048, 11922, 5.82
4096, 23750, 5.80
8192, 47398, 5.79
16384, 94754, 5.78
128, 802, 6.27
256, 1546, 6.04
512, 3034, 5.93
1024, 5996, 5.86
2048, 11932, 5.83
4096, 23776, 5.80
8192, 47446, 5.79
16384, 94766, 5.78
128, 806, 6.30
256, 1556, 6.08
512, 3030, 5.92
1024, 5992, 5.85
2048, 11930, 5.83
4096, 23766, 5.80
8192, 47396, 5.79
16384, 94814, 5.79
128, 804, 6.28
256, 1546, 6.04
512, 3042, 5.94
1024, 5988, 5.85
2048, 11962, 5.84
4096, 23760, 5.80
8192, 47386, 5.78
16384, 94734, 5.78
128, 802, 6.27
256, 1548, 6.05
512, 3046, 5.95
1024, 5996, 5.86
2048, 11922, 5.82
4096, 23744, 5.80
8192, 47412, 5.79
16384, 94822, 5.79
