128, 804, 6.28
256, 1552, 6.06
512, 3052, 5.96
1024, 6044, 5.90
2048, 11996, 5.86
4096, 23914, 5.84
8192, 47700, 5.82
16384, 95470, 5.83
128, 808, 6.31
256, 1554, 6.07
512, 3058, 5.97
1024, 6024, 5.88
2048, 12022, 5.87
4096, 23936, 5.84
8192, 47796, 5.83
16384, 95454, 5.83
128, 806, 6.30
256, 1550, 6.05
512, 3054, 5.96
1024, 6052, 5.91
2048, 12020, 5.87
4096, 23954, 5.85
8192, 47772, 5.83
16384, 95502, 5.83
128, 814, 6.36
256, 1554, 6.07
512, 3056, 5.97
1024, 6042, 5.90
2048, 12030, 5.87
4096, 23924, 5.84
8192, 47830, 5.84
16384, 95466, 5.83
128, 806, 6.30
256, 1558, 6.09
512, 3048, 5.95
1024, 6036, 5.89
2048, 12008, 5.86
4096, 23948, 5.85
8192, 47772, 5.83
16384, 95490, 5.83
128, 804, 6.28
256, 1556, 6.08
512, 3050, 5.96
1024, 6044, 5.90
2048, 12042, 5.88
4096, 23924, 5.84
8192, 47762, 5.83
16384, 95484, 5.83
128, 806, 6.30
256, 1554, 6.07
512, 3046, 5.95
1024, 6030, 5.89
2048, 12012, 5.87
4096, 23928, 5.84
8192, 47722, 5.83
16384, 95502, 5.83
128, 808, 6.31
256, 1550, 6.05
512, 3058, 5.97
1024, 6026, 5.88
2048, 12006, 5.86
4096, 23924, 5.84
8192, 47770, 5.83
16384, 95488, 5.83
128, 806, 6.30
256, 1562, 6.10
512, 3048, 5.95
1024, 6042, 5.90
2048, 12022, 5.87
4096, 23948, 5.85
8192, 47798, 5.83
16384, 95492, 5.83
128, 806, 6.30
256, 1554, 6.07
512, 3054, 5.96
1024, 6028, 5.89
2048, 12004, 5.86
4096, 23926, 5.84
8192, 47760, 5.83
16384, 95466, 5.83
128, 804, 6.28
256, 1568, 6.12
512, 3046, 5.95
1024, 6020, 5.88
2048, 12020, 5.87
4096, 23924, 5.84
8192, 47732, 5.83
16384, 95494, 5.83
