128, 482, 3.77
256, 484, 1.89
512, 900, 1.76
1024, 1744, 1.70
2048, 3504, 1.71
4096, 6878, 1.68
8192, 13624, 1.66
16384, 27118, 1.66
128, 480, 3.75
256, 486, 1.90
512, 904, 1.77
1024, 1754, 1.71
2048, 3500, 1.71
4096, 6874, 1.68
8192, 13618, 1.66
16384, 27136, 1.66
128, 482, 3.77
256, 484, 1.89
512, 906, 1.77
1024, 1748, 1.71
2048, 3504, 1.71
4096, 6876, 1.68
8192, 13616, 1.66
16384, 27126, 1.66
128, 482, 3.77
256, 484, 1.89
512, 904, 1.77
1024, 1748, 1.71
2048, 3502, 1.71
4096, 6882, 1.68
8192, 13626, 1.66
16384, 27140, 1.66
128, 480, 3.75
256, 484, 1.89
512, 908, 1.77
1024, 1748, 1.71
2048, 3506, 1.71
4096, 6884, 1.68
8192, 13626, 1.66
16384, 27148, 1.66
128, 484, 3.78
256, 484, 1.89
512, 902, 1.76
1024, 1744, 1.70
2048, 3508, 1.71
4096, 6874, 1.68
8192, 13612, 1.66
16384, 27116, 1.66
128, 480, 3.75
256, 484, 1.89
512, 904, 1.77
1024, 1744, 1.70
2048, 3504, 1.71
4096, 6876, 1.68
8192, 13624, 1.66
16384, 27136, 1.66
128, 482, 3.77
256, 484, 1.89
512, 906, 1.77
1024, 1746, 1.71
2048, 3502, 1.71
4096, 6874, 1.68
8192, 13620, 1.66
16384, 27136, 1.66
128, 482, 3.77
256, 484, 1.89
512, 910, 1.78
1024, 1748, 1.71
2048, 3508, 1.71
4096, 6874, 1.68
8192, 13626, 1.66
16384, 27146, 1.66
128, 484, 3.78
256, 484, 1.89
512, 906, 1.77
1024, 1748, 1.71
2048, 3508, 1.71
4096, 6870, 1.68
8192, 13616, 1.66
16384, 27126, 1.66
128, 480, 3.75
256, 482, 1.88
512, 906, 1.77
1024, 1746, 1.71
2048, 3508, 1.71
4096, 6872, 1.68
8192, 13626, 1.66
16384, 27134, 1.66
