128, 492, 3.84
256, 490, 1.91
512, 492, 0.96
1024, 924, 0.90
2048, 1784, 0.87
4096, 3514, 0.86
8192, 6950, 0.85
16384, 13834, 0.84
128, 494, 3.86
256, 494, 1.93
512, 498, 0.97
1024, 926, 0.90
2048, 1778, 0.87
4096, 3508, 0.86
8192, 6946, 0.85
16384, 13848, 0.85
128, 492, 3.84
256, 494, 1.93
512, 486, 0.95
1024, 922, 0.90
2048, 1782, 0.87
4096, 3506, 0.86
8192, 6958, 0.85
16384, 13842, 0.84
128, 492, 3.84
256, 492, 1.92
512, 494, 0.96
1024, 924, 0.90
2048, 1784, 0.87
4096, 3506, 0.86
8192, 6944, 0.85
16384, 13830, 0.84
128, 490, 3.83
256, 494, 1.93
512, 498, 0.97
1024, 924, 0.90
2048, 1778, 0.87
4096, 3502, 0.85
8192, 6950, 0.85
16384, 13840, 0.84
128, 502, 3.92
256, 492, 1.92
512, 494, 0.96
1024, 924, 0.90
2048, 1786, 0.87
4096, 3508, 0.86
8192, 6964, 0.85
16384, 13830, 0.84
128, 494, 3.86
256, 492, 1.92
512, 492, 0.96
1024, 924, 0.90
2048, 1784, 0.87
4096, 3510, 0.86
8192, 6956, 0.85
16384, 13846, 0.85
128, 494, 3.86
256, 492, 1.92
512, 492, 0.96
1024, 924, 0.90
2048, 1784, 0.87
4096, 3506, 0.86
8192, 6948, 0.85
16384, 13844, 0.84
128, 492, 3.84
256, 492, 1.92
512, 492, 0.96
1024, 924, 0.90
2048, 1784, 0.87
4096, 3500, 0.85
8192, 6962, 0.85
16384, 13838, 0.84
128, 492, 3.84
256, 494, 1.93
512, 490, 0.96
1024, 918, 0.90
2048, 1780, 0.87
4096, 3504, 0.86
8192, 6954, 0.85
16384, 13838, 0.84
128, 492, 3.84
256, 494, 1.93
512, 494, 0.96
1024, 922, 0.90
2048, 1784, 0.87
4096, 3506, 0.86
8192, 6954, 0.85
16384, 13846, 0.85
