128, 480, 3.75
256, 488, 1.91
512, 910, 1.78
1024, 1754, 1.71
2048, 3486, 1.70
4096, 6882, 1.68
8192, 13664, 1.67
16384, 27248, 1.66
128, 476, 3.72
256, 486, 1.90
512, 908, 1.77
1024, 1758, 1.72
2048, 3484, 1.70
4096, 6880, 1.68
8192, 13664, 1.67
16384, 27246, 1.66
128, 484, 3.78
256, 486, 1.90
512, 912, 1.78
1024, 1764, 1.72
2048, 3486, 1.70
4096, 6878, 1.68
8192, 13656, 1.67
16384, 27258, 1.66
128, 478, 3.73
256, 488, 1.91
512, 906, 1.77
1024, 1758, 1.72
2048, 3486, 1.70
4096, 6880, 1.68
8192, 13666, 1.67
16384, 27248, 1.66
128, 482, 3.77
256, 484, 1.89
512, 910, 1.78
1024, 1756, 1.71
2048, 3486, 1.70
4096, 6878, 1.68
8192, 13664, 1.67
16384, 27252, 1.66
128, 480, 3.75
256, 488, 1.91
512, 914, 1.79
1024, 1760, 1.72
2048, 3486, 1.70
4096, 6880, 1.68
8192, 13666, 1.67
16384, 27252, 1.66
128, 478, 3.73
256, 488, 1.91
512, 908, 1.77
1024, 1756, 1.71
2048, 3486, 1.70
4096, 6876, 1.68
8192, 13662, 1.67
16384, 27248, 1.66
128, 480, 3.75
256, 486, 1.90
512, 910, 1.78
1024, 1758, 1.72
2048, 3484, 1.70
4096, 6872, 1.68
8192, 13664, 1.67
16384, 27256, 1.66
128, 484, 3.78
256, 482, 1.88
512, 910, 1.78
1024, 1756, 1.71
2048, 3486, 1.70
4096, 6876, 1.68
8192, 13666, 1.67
16384, 27256, 1.66
128, 478, 3.73
256, 488, 1.91
512, 910, 1.78
1024, 1756, 1.71
2048, 3482, 1.70
4096, 6866, 1.68
8192, 13658, 1.67
16384, 27256, 1.66
128, 478, 3.73
256, 484, 1.89
512, 912, 1.78
1024, 1756, 1.71
2048, 3476, 1.70
4096, 6876, 1.68
8192, 13666, 1.67
16384, 27248, 1.66
