128, 518, 4.05
256, 978, 3.82
512, 1894, 3.70
1024, 3732, 3.64
2048, 7410, 3.62
4096, 14794, 3.61
8192, 29544, 3.61
16384, 58938, 3.60
128, 516, 4.03
256, 978, 3.82
512, 1894, 3.70
1024, 3736, 3.65
2048, 7404, 3.62
4096, 14816, 3.62
8192, 29496, 3.60
16384, 58934, 3.60
128, 520, 4.06
256, 976, 3.81
512, 1892, 3.70
1024, 3740, 3.65
2048, 7414, 3.62
4096, 14808, 3.62
8192, 29516, 3.60
16384, 58906, 3.60
128, 516, 4.03
256, 974, 3.80
512, 1898, 3.71
1024, 3726, 3.64
2048, 7428, 3.63
4096, 14808, 3.62
8192, 29508, 3.60
16384, 58962, 3.60
128, 510, 3.98
256, 978, 3.82
512, 1894, 3.70
1024, 3738, 3.65
2048, 7416, 3.62
4096, 14836, 3.62
8192, 29528, 3.60
16384, 58974, 3.60
128, 520, 4.06
256, 976, 3.81
512, 1900, 3.71
1024, 3734, 3.65
2048, 7418, 3.62
4096, 14844, 3.62
8192, 29522, 3.60
16384, 58944, 3.60
128, 514, 4.02
256, 976, 3.81
512, 1898, 3.71
1024, 3732, 3.64
2048, 7430, 3.63
4096, 14850, 3.63
8192, 29536, 3.61
16384, 58926, 3.60
128, 512, 4.00
256, 980, 3.83
512, 1920, 3.75
1024, 3734, 3.65
2048, 7426, 3.63
4096, 14812, 3.62
8192, 29526, 3.60
16384, 58924, 3.60
128, 516, 4.03
256, 984, 3.84
512, 1892, 3.70
1024, 3734, 3.65
2048, 7430, 3.63
4096, 14804, 3.61
8192, 29576, 3.61
16384, 58910, 3.60
128, 518, 4.05
256, 970, 3.79
512, 1892, 3.70
1024, 3736, 3.65
2048, 7408, 3.62
4096, 14810, 3.62
8192, 29502, 3.60
16384, 58948, 3.60
128, 522, 4.08
256, 978, 3.82
512, 1898, 3.71
1024, 3728, 3.64
2048, 7422, 3.62
4096, 14802, 3.61
8192, 29524, 3.60
16384, 58914, 3.60
