128, 758, 5.92
256, 766, 2.99
512, 754, 1.47
1024, 1462, 1.43
2048, 2862, 1.40
4096, 5654, 1.38
8192, 11252, 1.37
16384, 22480, 1.37
128, 756, 5.91
256, 754, 2.95
512, 754, 1.47
1024, 1454, 1.42
2048, 2858, 1.40
4096, 5666, 1.38
8192, 11274, 1.38
16384, 22506, 1.37
128, 760, 5.94
256, 758, 2.96
512, 754, 1.47
1024, 1468, 1.43
2048, 2850, 1.39
4096, 5662, 1.38
8192, 11258, 1.37
16384, 22528, 1.38
128, 760, 5.94
256, 760, 2.97
512, 752, 1.47
1024, 1456, 1.42
2048, 2870, 1.40
4096, 5654, 1.38
8192, 11262, 1.37
16384, 22492, 1.37
128, 758, 5.92
256, 764, 2.98
512, 754, 1.47
1024, 1458, 1.42
2048, 2860, 1.40
4096, 5648, 1.38
8192, 11266, 1.38
16384, 22474, 1.37
128, 762, 5.95
256, 756, 2.95
512, 756, 1.48
1024, 1458, 1.42
2048, 2864, 1.40
4096, 5652, 1.38
8192, 11276, 1.38
16384, 22498, 1.37
128, 762, 5.95
256, 756, 2.95
512, 758, 1.48
1024, 1458, 1.42
2048, 2862, 1.40
4096, 5650, 1.38
8192, 11268, 1.38
16384, 22476, 1.37
128, 756, 5.91
256, 750, 2.93
512, 752, 1.47
1024, 1456, 1.42
2048, 2864, 1.40
4096, 5662, 1.38
8192, 11260, 1.37
16384, 22492, 1.37
128, 760, 5.94
256, 756, 2.95
512, 756, 1.48
1024, 1464, 1.43
2048, 2852, 1.39
4096, 5664, 1.38
8192, 11258, 1.37
16384, 22484, 1.37
128, 756, 5.91
256, 758, 2.96
512, 752, 1.47
1024, 1462, 1.43
2048, 2858, 1.40
4096, 5672, 1.38
8192, 11256, 1.37
16384, 22516, 1.37
128, 762, 5.95
256, 764, 2.98
512, 758, 1.48
1024, 1454, 1.42
2048, 2862, 1.40
4096, 5660, 1.38
8192, 11262, 1.37
16384, 22462, 1.37
