128, 1110, 8.67
256, 1110, 4.34
512, 1798, 3.51
1024, 3178, 3.10
2048, 5938, 2.90
4096, 11448, 2.79
8192, 22504, 2.75
16384, 44576, 2.72
128, 1106, 8.64
256, 1112, 4.34
512, 1802, 3.52
1024, 3182, 3.11
2048, 5942, 2.90
4096, 11450, 2.80
8192, 22486, 2.74
16384, 44532, 2.72
128, 1102, 8.61
256, 1114, 4.35
512, 1798, 3.51
1024, 3184, 3.11
2048, 5938, 2.90
4096, 11444, 2.79
8192, 22526, 2.75
16384, 44596, 2.72
128, 1108, 8.66
256, 1112, 4.34
512, 1800, 3.52
1024, 3176, 3.10
2048, 5936, 2.90
4096, 11460, 2.80
8192, 22498, 2.75
16384, 44560, 2.72
128, 1108, 8.66
256, 1114, 4.35
512, 1796, 3.51
1024, 3188, 3.11
2048, 5938, 2.90
4096, 11464, 2.80
8192, 22502, 2.75
16384, 44562, 2.72
128, 1110, 8.67
256, 1102, 4.30
512, 1798, 3.51
1024, 3184, 3.11
2048, 5946, 2.90
4096, 11454, 2.80
8192, 22504, 2.75
16384, 44550, 2.72
128, 1110, 8.67
256, 1110, 4.34
512, 1804, 3.52
1024, 3182, 3.11
2048, 5944, 2.90
4096, 11470, 2.80
8192, 22472, 2.74
16384, 44552, 2.72
128, 1108, 8.66
256, 1112, 4.34
512, 1800, 3.52
1024, 3186, 3.11
2048, 5944, 2.90
4096, 11470, 2.80
8192, 22516, 2.75
16384, 44540, 2.72
128, 1106, 8.64
256, 1110, 4.34
512, 1806, 3.53
1024, 3188, 3.11
2048, 5940, 2.90
4096, 11448, 2.79
8192, 22482, 2.74
16384, 44554, 2.72
128, 1106, 8.64
256, 1112, 4.34
512, 1798, 3.51
1024, 3180, 3.11
2048, 5932, 2.90
4096, 11460, 2.80
8192, 22474, 2.74
16384, 44556, 2.72
128, 1102, 8.61
256, 1112, 4.34
512, 1796, 3.51
1024, 3190, 3.12
2048, 5936, 2.90
4096, 11448, 2.79
8192, 22486, 2.74
16384, 44574, 2.72
