128, 1162, 9.08
256, 1900, 7.42
512, 3378, 6.60
1024, 6346, 6.20
2048, 12308, 6.01
4096, 24188, 5.91
8192, 47824, 5.84
16384, 95268, 5.81
128, 1154, 9.02
256, 1894, 7.40
512, 3380, 6.60
1024, 6340, 6.19
2048, 12308, 6.01
4096, 24166, 5.90
8192, 47842, 5.84
16384, 95290, 5.82
128, 1156, 9.03
256, 1894, 7.40
512, 3388, 6.62
1024, 6352, 6.20
2048, 12316, 6.01
4096, 24148, 5.90
8192, 47888, 5.85
16384, 95210, 5.81
128, 1160, 9.06
256, 1892, 7.39
512, 3376, 6.59
1024, 6350, 6.20
2048, 12318, 6.01
4096, 24144, 5.89
8192, 47886, 5.85
16384, 95320, 5.82
128, 1154, 9.02
256, 1900, 7.42
512, 3386, 6.61
1024, 6356, 6.21
2048, 12322, 6.02
4096, 24170, 5.90
8192, 47852, 5.84
16384, 95254, 5.81
128, 1154, 9.02
256, 1896, 7.41
512, 3390, 6.62
1024, 6354, 6.21
2048, 12302, 6.01
4096, 24182, 5.90
8192, 47850, 5.84
16384, 95314, 5.82
128, 1158, 9.05
256, 1904, 7.44
512, 3386, 6.61
1024, 6338, 6.19
2048, 12300, 6.01
4096, 24180, 5.90
8192, 47884, 5.85
16384, 95254, 5.81
128, 1154, 9.02
256, 1900, 7.42
512, 3388, 6.62
1024, 6344, 6.20
2048, 12306, 6.01
4096, 24174, 5.90
8192, 47862, 5.84
16384, 95304, 5.82
128, 1154, 9.02
256, 1906, 7.45
512, 3380, 6.60
1024, 6350, 6.20
2048, 12292, 6.00
4096, 24176, 5.90
8192, 47864, 5.84
16384, 95306, 5.82
128, 1156, 9.03
256, 1898, 7.41
512, 3388, 6.62
1024, 6358, 6.21
2048, 12296, 6.00
4096, 24180, 5.90
8192, 47912, 5.85
16384, 95284, 5.82
128, 1154, 9.02
256, 1902, 7.43
512, 3392, 6.62
1024, 6342, 6.19
2048, 12318, 6.01
4096, 24168, 5.90
8192, 47856, 5.84
16384, 95296, 5.82
