128, 1164, 9.09
256, 1910, 7.46
512, 3404, 6.65
1024, 6394, 6.24
2048, 12380, 6.04
4096, 24334, 5.94
8192, 48202, 5.88
16384, 95868, 5.85
128, 1158, 9.05
256, 1914, 7.48
512, 3404, 6.65
1024, 6392, 6.24
2048, 12380, 6.04
4096, 24322, 5.94
8192, 48166, 5.88
16384, 95916, 5.85
128, 1162, 9.08
256, 1912, 7.47
512, 3404, 6.65
1024, 6390, 6.24
2048, 12372, 6.04
4096, 24330, 5.94
8192, 48186, 5.88
16384, 95902, 5.85
128, 1160, 9.06
256, 1910, 7.46
512, 3402, 6.64
1024, 6388, 6.24
2048, 12362, 6.04
4096, 24316, 5.94
8192, 48162, 5.88
16384, 95906, 5.85
128, 1158, 9.05
256, 1908, 7.45
512, 3408, 6.66
1024, 6392, 6.24
2048, 12390, 6.05
4096, 24322, 5.94
8192, 48196, 5.88
16384, 95908, 5.85
128, 1166, 9.11
256, 1906, 7.45
512, 3404, 6.65
1024, 6386, 6.24
2048, 12374, 6.04
4096, 24318, 5.94
8192, 48196, 5.88
16384, 95902, 5.85
128, 1158, 9.05
256, 1908, 7.45
512, 3400, 6.64
1024, 6390, 6.24
2048, 12378, 6.04
4096, 24318, 5.94
8192, 48180, 5.88
16384, 95930, 5.86
128, 1164, 9.09
256, 1912, 7.47
512, 3406, 6.65
1024, 6392, 6.24
2048, 12374, 6.04
4096, 24330, 5.94
8192, 48182, 5.88
16384, 95914, 5.85
128, 1158, 9.05
256, 1912, 7.47
512, 3410, 6.66
1024, 6394, 6.24
2048, 12384, 6.05
4096, 24322, 5.94
8192, 48198, 5.88
16384, 95872, 5.85
128, 1162, 9.08
256, 1914, 7.48
512, 3402, 6.64
1024, 6394, 6.24
2048, 12368, 6.04
4096, 24322, 5.94
8192, 48194, 5.88
16384, 95950, 5.86
128, 1164, 9.09
256, 1908, 7.45
512, 3394, 6.63
1024, 6394, 6.24
2048, 12372, 6.04
4096, 24296, 5.93
8192, 48216, 5.89
16384, 95916, 5.85
