128, 3184, 24.88
256, 5226, 20.41
512, 9152, 17.88
1024, 16776, 16.38
2048, 32342, 15.79
4096, 63170, 15.42
8192, 124426, 15.19
16384, 247610, 15.11
128, 3186, 24.89
256, 5236, 20.45
512, 9154, 17.88
1024, 16968, 16.57
2048, 32270, 15.76
4096, 63190, 15.43
8192, 124492, 15.20
16384, 247684, 15.12
128, 3184, 24.88
256, 5218, 20.38
512, 9144, 17.86
1024, 16822, 16.43
2048, 32224, 15.73
4096, 63214, 15.43
8192, 124556, 15.20
16384, 247670, 15.12
128, 3188, 24.91
256, 5226, 20.41
512, 9134, 17.84
1024, 16966, 16.57
2048, 32492, 15.87
4096, 63150, 15.42
8192, 124506, 15.20
16384, 247636, 15.11
128, 3190, 24.92
256, 5222, 20.40
512, 9114, 17.80
1024, 16974, 16.58
2048, 32298, 15.77
4096, 63278, 15.45
8192, 124540, 15.20
16384, 247618, 15.11
128, 3194, 24.95
256, 5210, 20.35
512, 9156, 17.88
1024, 16948, 16.55
2048, 32620, 15.93
4096, 63192, 15.43
8192, 124534, 15.20
16384, 247574, 15.11
128, 3192, 24.94
256, 5210, 20.35
512, 9128, 17.83
1024, 16952, 16.55
2048, 32600, 15.92
4096, 62990, 15.38
8192, 124494, 15.20
16384, 247726, 15.12
128, 3188, 24.91
256, 5224, 20.41
512, 9160, 17.89
1024, 17002, 16.60
2048, 32596, 15.92
4096, 63178, 15.42
8192, 124544, 15.20
16384, 247570, 15.11
128, 3186, 24.89
256, 5206, 20.34
512, 9128, 17.83
1024, 16778, 16.38
2048, 32196, 15.72
4096, 62908, 15.36
8192, 124500, 15.20
16384, 247646, 15.12
128, 3198, 24.98
256, 5232, 20.44
512, 9126, 17.82
1024, 16984, 16.59
2048, 32640, 15.94
4096, 63132, 15.41
8192, 124532, 15.20
16384, 247582, 15.11
128, 3190, 24.92
256, 5234, 20.45
512, 9128, 17.83
1024, 16724, 16.33
2048, 32246, 15.75
4096, 62980, 15.38
8192, 124498, 15.20
16384, 247652, 15.12
