128, 1354, 10.58
256, 2622, 10.24
512, 5126, 10.01
1024, 10194, 9.96
2048, 20252, 9.89
4096, 39260, 9.58
8192, 77230, 9.43
16384, 153236, 9.35
128, 1356, 10.59
256, 2618, 10.23
512, 5120, 10.00
1024, 10184, 9.95
2048, 20252, 9.89
4096, 39248, 9.58
8192, 77238, 9.43
16384, 153180, 9.35
128, 1356, 10.59
256, 2628, 10.27
512, 5148, 10.05
1024, 10176, 9.94
2048, 20248, 9.89
4096, 39280, 9.59
8192, 77226, 9.43
16384, 153208, 9.35
128, 1384, 10.81
256, 2632, 10.28
512, 5138, 10.04
1024, 10190, 9.95
2048, 20238, 9.88
4096, 39232, 9.58
8192, 77234, 9.43
16384, 153246, 9.35
128, 1356, 10.59
256, 2614, 10.21
512, 5124, 10.01
1024, 10196, 9.96
2048, 20238, 9.88
4096, 39276, 9.59
8192, 77226, 9.43
16384, 153226, 9.35
128, 1360, 10.62
256, 2622, 10.24
512, 5138, 10.04
1024, 10204, 9.96
2048, 20254, 9.89
4096, 39228, 9.58
8192, 77256, 9.43
16384, 153184, 9.35
128, 1380, 10.78
256, 2638, 10.30
512, 5144, 10.05
1024, 10188, 9.95
2048, 20252, 9.89
4096, 39238, 9.58
8192, 77220, 9.43
16384, 153214, 9.35
128, 1386, 10.83
256, 2652, 10.36
512, 5138, 10.04
1024, 10200, 9.96
2048, 20250, 9.89
4096, 39230, 9.58
8192, 77250, 9.43
16384, 153226, 9.35
128, 1364, 10.66
256, 2636, 10.30
512, 5164, 10.09
1024, 10190, 9.95
2048, 20244, 9.88
4096, 39250, 9.58
8192, 77230, 9.43
16384, 153180, 9.35
128, 1368, 10.69
256, 2640, 10.31
512, 5154, 10.07
1024, 10198, 9.96
2048, 20254, 9.89
4096, 39266, 9.59
8192, 77232, 9.43
16384, 153224, 9.35
128, 1362, 10.64
256, 2610, 10.20
512, 5130, 10.02
1024, 10190, 9.95
2048, 20228, 9.88
4096, 39260, 9.58
8192, 77242, 9.43
16384, 153198, 9.35
