128, 176, 1.38
256, 310, 1.21
512, 604, 1.18
1024, 1074, 1.05
2048, 1942, 0.95
4096, 3712, 0.91
8192, 7220, 0.88
16384, 14238, 0.87
128, 176, 1.38
256, 306, 1.20
512, 602, 1.18
1024, 1070, 1.04
2048, 1936, 0.95
4096, 3702, 0.90
8192, 7208, 0.88
16384, 14292, 0.87
128, 176, 1.38
256, 308, 1.20
512, 602, 1.18
1024, 1068, 1.04
2048, 1946, 0.95
4096, 3706, 0.90
8192, 7212, 0.88
16384, 14258, 0.87
128, 174, 1.36
256, 308, 1.20
512, 602, 1.18
1024, 1062, 1.04
2048, 1946, 0.95
4096, 3700, 0.90
8192, 7216, 0.88
16384, 14256, 0.87
128, 176, 1.38
256, 308, 1.20
512, 602, 1.18
1024, 1070, 1.04
2048, 1950, 0.95
4096, 3704, 0.90
8192, 7208, 0.88
16384, 14232, 0.87
128, 174, 1.36
256, 308, 1.20
512, 600, 1.17
1024, 1062, 1.04
2048, 1944, 0.95
4096, 3704, 0.90
8192, 7216, 0.88
16384, 14184, 0.87
128, 176, 1.38
256, 310, 1.21
512, 606, 1.18
1024, 1066, 1.04
2048, 1944, 0.95
4096, 3698, 0.90
8192, 7232, 0.88
16384, 14208, 0.87
128, 174, 1.36
256, 328, 1.28
512, 604, 1.18
1024, 1068, 1.04
2048, 1944, 0.95
4096, 3712, 0.91
8192, 7202, 0.88
16384, 14246, 0.87
128, 176, 1.38
256, 328, 1.28
512, 606, 1.18
1024, 1064, 1.04
2048, 1938, 0.95
4096, 3690, 0.90
8192, 7222, 0.88
16384, 14234, 0.87
128, 172, 1.34
256, 332, 1.30
512, 604, 1.18
1024, 1070, 1.04
2048, 1936, 0.95
4096, 3698, 0.90
8192, 7190, 0.88
16384, 14266, 0.87
128, 174, 1.36
256, 328, 1.28
512, 604, 1.18
1024, 1064, 1.04
2048, 1952, 0.95
4096, 3696, 0.90
8192, 7210, 0.88
16384, 14254, 0.87
