128, 180, 1.41
256, 312, 1.22
512, 448, 0.88
1024, 726, 0.71
2048, 1274, 0.62
4096, 2380, 0.58
8192, 4576, 0.56
16384, 8980, 0.55
128, 178, 1.39
256, 312, 1.22
512, 450, 0.88
1024, 722, 0.71
2048, 1272, 0.62
4096, 2374, 0.58
8192, 4580, 0.56
16384, 8990, 0.55
128, 180, 1.41
256, 312, 1.22
512, 450, 0.88
1024, 726, 0.71
2048, 1278, 0.62
4096, 2376, 0.58
8192, 4578, 0.56
16384, 8978, 0.55
128, 178, 1.39
256, 308, 1.20
512, 450, 0.88
1024, 726, 0.71
2048, 1276, 0.62
4096, 2374, 0.58
8192, 4578, 0.56
16384, 8988, 0.55
128, 182, 1.42
256, 308, 1.20
512, 450, 0.88
1024, 726, 0.71
2048, 1276, 0.62
4096, 2378, 0.58
8192, 4580, 0.56
16384, 8982, 0.55
128, 178, 1.39
256, 310, 1.21
512, 450, 0.88
1024, 724, 0.71
2048, 1274, 0.62
4096, 2376, 0.58
8192, 4572, 0.56
16384, 8982, 0.55
128, 180, 1.41
256, 312, 1.22
512, 456, 0.89
1024, 726, 0.71
2048, 1278, 0.62
4096, 2378, 0.58
8192, 4576, 0.56
16384, 8976, 0.55
128, 180, 1.41
256, 312, 1.22
512, 448, 0.88
1024, 728, 0.71
2048, 1282, 0.63
4096, 2376, 0.58
8192, 4574, 0.56
16384, 8988, 0.55
128, 180, 1.41
256, 312, 1.22
512, 442, 0.86
1024, 716, 0.70
2048, 1274, 0.62
4096, 2384, 0.58
8192, 4578, 0.56
16384, 8986, 0.55
128, 180, 1.41
256, 312, 1.22
512, 450, 0.88
1024, 724, 0.71
2048, 1276, 0.62
4096, 2370, 0.58
8192, 4578, 0.56
16384, 8990, 0.55
128, 178, 1.39
256, 312, 1.22
512, 448, 0.88
1024, 726, 0.71
2048, 1276, 0.62
4096, 2370, 0.58
8192, 4574, 0.56
16384, 8984, 0.55
