128, 1236, 9.66
256, 2056, 8.03
512, 3044, 5.95
1024, 4886, 4.77
2048, 8536, 4.17
4096, 15836, 3.87
8192, 30444, 3.72
16384, 59616, 3.64
128, 1236, 9.66
256, 2060, 8.05
512, 3040, 5.94
1024, 4884, 4.77
2048, 8534, 4.17
4096, 15834, 3.87
8192, 30432, 3.71
16384, 59614, 3.64
128, 1240, 9.69
256, 2052, 8.02
512, 3042, 5.94
1024, 4888, 4.77
2048, 8536, 4.17
4096, 15832, 3.87
8192, 30442, 3.72
16384, 59628, 3.64
128, 1238, 9.67
256, 2056, 8.03
512, 3042, 5.94
1024, 4888, 4.77
2048, 8530, 4.17
4096, 15834, 3.87
8192, 30436, 3.72
16384, 59622, 3.64
128, 1240, 9.69
256, 2066, 8.07
512, 3040, 5.94
1024, 4886, 4.77
2048, 8534, 4.17
4096, 15838, 3.87
8192, 30434, 3.72
16384, 59614, 3.64
128, 1238, 9.67
256, 2056, 8.03
512, 3046, 5.95
1024, 4884, 4.77
2048, 8534, 4.17
4096, 15832, 3.87
8192, 30430, 3.71
16384, 59620, 3.64
128, 1242, 9.70
256, 2060, 8.05
512, 3042, 5.94
1024, 4886, 4.77
2048, 8534, 4.17
4096, 15832, 3.87
8192, 30436, 3.72
16384, 59610, 3.64
128, 1244, 9.72
256, 2058, 8.04
512, 3042, 5.94
1024, 4888, 4.77
2048, 8532, 4.17
4096, 15840, 3.87
8192, 30428, 3.71
16384, 59638, 3.64
128, 1240, 9.69
256, 2058, 8.04
512, 3040, 5.94
1024, 4886, 4.77
2048, 8536, 4.17
4096, 15836, 3.87
8192, 30430, 3.71
16384, 59624, 3.64
128, 1236, 9.66
256, 2056, 8.03
512, 3042, 5.94
1024, 4888, 4.77
2048, 8538, 4.17
4096, 15838, 3.87
8192, 30442, 3.72
16384, 59624, 3.64
128, 1240, 9.69
256, 2058, 8.04
512, 3042, 5.94
1024, 4886, 4.77
2048, 8534, 4.17
4096, 15838, 3.87
8192, 30436, 3.72
16384, 59646, 3.64
