128, 2040, 15.94
256, 2170, 8.48
512, 3010, 5.88
1024, 3990, 3.90
2048, 5944, 2.90
4096, 9868, 2.41
8192, 17690, 2.16
16384, 33346, 2.04
128, 2048, 16.00
256, 2168, 8.47
512, 3006, 5.87
1024, 3986, 3.89
2048, 5944, 2.90
4096, 9862, 2.41
8192, 17692, 2.16
16384, 33342, 2.04
128, 2044, 15.97
256, 2170, 8.48
512, 3006, 5.87
1024, 3988, 3.89
2048, 5946, 2.90
4096, 9864, 2.41
8192, 17690, 2.16
16384, 33358, 2.04
128, 2044, 15.97
256, 2172, 8.48
512, 3008, 5.88
1024, 3990, 3.90
2048, 5948, 2.90
4096, 9860, 2.41
8192, 17696, 2.16
16384, 33362, 2.04
128, 2046, 15.98
256, 2170, 8.48
512, 3006, 5.87
1024, 3986, 3.89
2048, 5940, 2.90
4096, 9860, 2.41
8192, 17692, 2.16
16384, 33358, 2.04
128, 2028, 15.84
256, 2172, 8.48
512, 3006, 5.87
1024, 3988, 3.89
2048, 5948, 2.90
4096, 9862, 2.41
8192, 17684, 2.16
16384, 33368, 2.04
128, 2044, 15.97
256, 2170, 8.48
512, 3008, 5.88
1024, 3986, 3.89
2048, 5946, 2.90
4096, 9862, 2.41
8192, 17684, 2.16
16384, 33354, 2.04
128, 2038, 15.92
256, 2170, 8.48
512, 3006, 5.87
1024, 3988, 3.89
2048, 5946, 2.90
4096, 9860, 2.41
8192, 17688, 2.16
16384, 33344, 2.04
128, 2042, 15.95
256, 2170, 8.48
512, 3008, 5.88
1024, 3988, 3.89
2048, 5942, 2.90
4096, 9862, 2.41
8192, 17692, 2.16
16384, 33348, 2.04
128, 2048, 16.00
256, 2172, 8.48
512, 3006, 5.87
1024, 3986, 3.89
2048, 5944, 2.90
4096, 9860, 2.41
8192, 17696, 2.16
16384, 33376, 2.04
128, 2044, 15.97
256, 2172, 8.48
512, 3008, 5.88
1024, 3986, 3.89
2048, 5942, 2.90
4096, 9860, 2.41
8192, 17686, 2.16
16384, 33366, 2.04
