128, 526, 4.11
256, 990, 3.87
512, 1926, 3.76
1024, 3792, 3.70
2048, 7538, 3.68
4096, 15032, 3.67
8192, 29956, 3.66
16384, 59826, 3.65
128, 524, 4.09
256, 994, 3.88
512, 1926, 3.76
1024, 3792, 3.70
2048, 7532, 3.68
4096, 15022, 3.67
8192, 29966, 3.66
16384, 59844, 3.65
128, 524, 4.09
256, 992, 3.88
512, 1924, 3.76
1024, 3794, 3.71
2048, 7532, 3.68
4096, 15032, 3.67
8192, 29962, 3.66
16384, 59840, 3.65
128, 524, 4.09
256, 994, 3.88
512, 1924, 3.76
1024, 3784, 3.70
2048, 7534, 3.68
4096, 15028, 3.67
8192, 29976, 3.66
16384, 59818, 3.65
128, 526, 4.11
256, 994, 3.88
512, 1924, 3.76
1024, 3786, 3.70
2048, 7534, 3.68
4096, 15026, 3.67
8192, 29958, 3.66
16384, 59836, 3.65
128, 526, 4.11
256, 988, 3.86
512, 1924, 3.76
1024, 3792, 3.70
2048, 7534, 3.68
4096, 15022, 3.67
8192, 29962, 3.66
16384, 59824, 3.65
128, 526, 4.11
256, 994, 3.88
512, 1920, 3.75
1024, 3792, 3.70
2048, 7526, 3.67
4096, 15026, 3.67
8192, 29972, 3.66
16384, 59832, 3.65
128, 524, 4.09
256, 992, 3.88
512, 1926, 3.76
1024, 3794, 3.71
2048, 7526, 3.67
4096, 15026, 3.67
8192, 29978, 3.66
16384, 59856, 3.65
128, 526, 4.11
256, 990, 3.87
512, 1926, 3.76
1024, 3792, 3.70
2048, 7534, 3.68
4096, 15032, 3.67
8192, 29964, 3.66
16384, 59860, 3.65
128, 524, 4.09
256, 992, 3.88
512, 1926, 3.76
1024, 3792, 3.70
2048, 7526, 3.67
4096, 15026, 3.67
8192, 29966, 3.66
16384, 59842, 3.65
128, 528, 4.12
256, 994, 3.88
512, 1928, 3.77
1024, 3790, 3.70
2048, 7534, 3.68
4096, 15028, 3.67
8192, 29968, 3.66
16384, 59838, 3.65
