128, 774, 6.05
256, 662, 2.59
512, 1274, 2.49
1024, 2490, 2.43
2048, 4930, 2.41
4096, 9802, 2.39
8192, 19526, 2.38
16384, 39038, 2.38
128, 770, 6.02
256, 664, 2.59
512, 1270, 2.48
1024, 2488, 2.43
2048, 4910, 2.40
4096, 9804, 2.39
8192, 19556, 2.39
16384, 39078, 2.39
128, 774, 6.05
256, 666, 2.60
512, 1272, 2.48
1024, 2494, 2.44
2048, 4926, 2.41
4096, 9804, 2.39
8192, 19552, 2.39
16384, 39036, 2.38
128, 774, 6.05
256, 662, 2.59
512, 1272, 2.48
1024, 2490, 2.43
2048, 4924, 2.40
4096, 9798, 2.39
8192, 19536, 2.38
16384, 39038, 2.38
128, 772, 6.03
256, 664, 2.59
512, 1276, 2.49
1024, 2482, 2.42
2048, 4920, 2.40
4096, 9790, 2.39
8192, 19556, 2.39
16384, 39038, 2.38
128, 772, 6.03
256, 670, 2.62
512, 1270, 2.48
1024, 2494, 2.44
2048, 4920, 2.40
4096, 9794, 2.39
8192, 19554, 2.39
16384, 38972, 2.38
128, 768, 6.00
256, 666, 2.60
512, 1276, 2.49
1024, 2488, 2.43
2048, 4926, 2.41
4096, 9816, 2.40
8192, 19510, 2.38
16384, 38986, 2.38
128, 770, 6.02
256, 662, 2.59
512, 1270, 2.48
1024, 2490, 2.43
2048, 4930, 2.41
4096, 9798, 2.39
8192, 19556, 2.39
16384, 38984, 2.38
128, 792, 6.19
256, 662, 2.59
512, 1268, 2.48
1024, 2488, 2.43
2048, 4920, 2.40
4096, 9792, 2.39
8192, 19546, 2.39
16384, 38954, 2.38
128, 768, 6.00
256, 662, 2.59
512, 1274, 2.49
1024, 2480, 2.42
2048, 4922, 2.40
4096, 9800, 2.39
8192, 19520, 2.38
16384, 38992, 2.38
128, 776, 6.06
256, 662, 2.59
512, 1274, 2.49
1024, 2484, 2.43
2048, 4924, 2.40
4096, 9786, 2.39
8192, 19518, 2.38
16384, 39022, 2.38
