128, 398, 3.11
256, 778, 3.04
512, 658, 1.29
1024, 1252, 1.22
2048, 2454, 1.20
4096, 4836, 1.18
8192, 9628, 1.18
16384, 19194, 1.17
128, 388, 3.03
256, 794, 3.10
512, 656, 1.28
1024, 1254, 1.22
2048, 2454, 1.20
4096, 4840, 1.18
8192, 9628, 1.18
16384, 19180, 1.17
128, 392, 3.06
256, 780, 3.05
512, 656, 1.28
1024, 1258, 1.23
2048, 2454, 1.20
4096, 4842, 1.18
8192, 9632, 1.18
16384, 19196, 1.17
128, 390, 3.05
256, 778, 3.04
512, 652, 1.27
1024, 1256, 1.23
2048, 2460, 1.20
4096, 4842, 1.18
8192, 9632, 1.18
16384, 19204, 1.17
128, 390, 3.05
256, 782, 3.05
512, 648, 1.27
1024, 1254, 1.22
2048, 2454, 1.20
4096, 4840, 1.18
8192, 9622, 1.17
16384, 19196, 1.17
128, 392, 3.06
256, 768, 3.00
512, 658, 1.29
1024, 1258, 1.23
2048, 2452, 1.20
4096, 4848, 1.18
8192, 9628, 1.18
16384, 19222, 1.17
128, 392, 3.06
256, 782, 3.05
512, 658, 1.29
1024, 1258, 1.23
2048, 2446, 1.19
4096, 4842, 1.18
8192, 9620, 1.17
16384, 19194, 1.17
128, 394, 3.08
256, 782, 3.05
512, 660, 1.29
1024, 1260, 1.23
2048, 2454, 1.20
4096, 4844, 1.18
8192, 9626, 1.18
16384, 19196, 1.17
128, 394, 3.08
256, 780, 3.05
512, 654, 1.28
1024, 1252, 1.22
2048, 2458, 1.20
4096, 4840, 1.18
8192, 9612, 1.17
16384, 19210, 1.17
128, 392, 3.06
256, 782, 3.05
512, 660, 1.29
1024, 1260, 1.23
2048, 2462, 1.20
4096, 4842, 1.18
8192, 9618, 1.17
16384, 19212, 1.17
128, 392, 3.06
256, 784, 3.06
512, 652, 1.27
1024, 1258, 1.23
2048, 2458, 1.20
4096, 4838, 1.18
8192, 9624, 1.17
16384, 19216, 1.17
