128, 400, 3.12
256, 784, 3.06
512, 662, 1.29
1024, 1262, 1.23
2048, 2450, 1.20
4096, 4842, 1.18
8192, 9622, 1.17
16384, 19216, 1.17
128, 406, 3.17
256, 786, 3.07
512, 656, 1.28
1024, 1256, 1.23
2048, 2458, 1.20
4096, 4844, 1.18
8192, 9632, 1.18
16384, 19210, 1.17
128, 404, 3.16
256, 784, 3.06
512, 654, 1.28
1024, 1256, 1.23
2048, 2458, 1.20
4096, 4844, 1.18
8192, 9626, 1.18
16384, 19212, 1.17
128, 400, 3.12
256, 776, 3.03
512, 652, 1.27
1024, 1262, 1.23
2048, 2456, 1.20
4096, 4838, 1.18
8192, 9624, 1.17
16384, 19216, 1.17
128, 396, 3.09
256, 784, 3.06
512, 656, 1.28
1024, 1258, 1.23
2048, 2458, 1.20
4096, 4850, 1.18
8192, 9630, 1.18
16384, 19214, 1.17
128, 396, 3.09
256, 780, 3.05
512, 658, 1.29
1024, 1258, 1.23
2048, 2454, 1.20
4096, 4840, 1.18
8192, 9622, 1.17
16384, 19216, 1.17
128, 396, 3.09
256, 780, 3.05
512, 656, 1.28
1024, 1252, 1.22
2048, 2454, 1.20
4096, 4846, 1.18
8192, 9622, 1.17
16384, 19214, 1.17
128, 402, 3.14
256, 786, 3.07
512, 654, 1.28
1024, 1252, 1.22
2048, 2452, 1.20
4096, 4840, 1.18
8192, 9628, 1.18
16384, 19214, 1.17
128, 402, 3.14
256, 790, 3.09
512, 656, 1.28
1024, 1254, 1.22
2048, 2454, 1.20
4096, 4840, 1.18
8192, 9622, 1.17
16384, 19218, 1.17
128, 398, 3.11
256, 802, 3.13
512, 658, 1.29
1024, 1256, 1.23
2048, 2458, 1.20
4096, 4844, 1.18
8192, 9630, 1.18
16384, 19214, 1.17
128, 398, 3.11
256, 784, 3.06
512, 654, 1.28
1024, 1254, 1.22
2048, 2458, 1.20
4096, 4840, 1.18
8192, 9624, 1.17
16384, 19214, 1.17
