128, 768, 6.00
256, 670, 2.62
512, 1268, 2.48
1024, 2478, 2.42
2048, 4900, 2.39
4096, 9730, 2.38
8192, 19424, 2.37
16384, 38784, 2.37
128, 772, 6.03
256, 670, 2.62
512, 1274, 2.49
1024, 2474, 2.42
2048, 4900, 2.39
4096, 9736, 2.38
8192, 19420, 2.37
16384, 38758, 2.37
128, 776, 6.06
256, 666, 2.60
512, 1268, 2.48
1024, 2484, 2.43
2048, 4898, 2.39
4096, 9738, 2.38
8192, 19428, 2.37
16384, 38772, 2.37
128, 774, 6.05
256, 664, 2.59
512, 1268, 2.48
1024, 2470, 2.41
2048, 4898, 2.39
4096, 9730, 2.38
8192, 19418, 2.37
16384, 38774, 2.37
128, 772, 6.03
256, 666, 2.60
512, 1268, 2.48
1024, 2480, 2.42
2048, 4898, 2.39
4096, 9728, 2.38
8192, 19428, 2.37
16384, 38792, 2.37
128, 774, 6.05
256, 666, 2.60
512, 1270, 2.48
1024, 2478, 2.42
2048, 4892, 2.39
4096, 9732, 2.38
8192, 19448, 2.37
16384, 38772, 2.37
128, 776, 6.06
256, 670, 2.62
512, 1270, 2.48
1024, 2474, 2.42
2048, 4886, 2.39
4096, 9736, 2.38
8192, 19434, 2.37
16384, 38758, 2.37
128, 772, 6.03
256, 666, 2.60
512, 1272, 2.48
1024, 2482, 2.42
2048, 4908, 2.40
4096, 9742, 2.38
8192, 19426, 2.37
16384, 38770, 2.37
128, 776, 6.06
256, 666, 2.60
512, 1270, 2.48
1024, 2476, 2.42
2048, 4898, 2.39
4096, 9736, 2.38
8192, 19448, 2.37
16384, 38764, 2.37
128, 780, 6.09
256, 660, 2.58
512, 1270, 2.48
1024, 2474, 2.42
2048, 4898, 2.39
4096, 9732, 2.38
8192, 19428, 2.37
16384, 38752, 2.37
128, 774, 6.05
256, 668, 2.61
512, 1272, 2.48
1024, 2476, 2.42
2048, 4900, 2.39
4096, 9742, 2.38
8192, 19412, 2.37
16384, 38766, 2.37
