128, 816, 6.38
256, 1596, 6.23
512, 3114, 6.08
1024, 6194, 6.05
2048, 12294, 6.00
4096, 24524, 5.99
8192, 48966, 5.98
16384, 98074, 5.99
128, 824, 6.44
256, 1600, 6.25
512, 3128, 6.11
1024, 6200, 6.05
2048, 12306, 6.01
4096, 24528, 5.99
8192, 49068, 5.99
16384, 98056, 5.98
128, 818, 6.39
256, 1602, 6.26
512, 3132, 6.12
1024, 6172, 6.03
2048, 12304, 6.01
4096, 24540, 5.99
8192, 49036, 5.99
16384, 97852, 5.97
128, 820, 6.41
256, 1598, 6.24
512, 3128, 6.11
1024, 6164, 6.02
2048, 12300, 6.01
4096, 24532, 5.99
8192, 48922, 5.97
16384, 97746, 5.97
128, 818, 6.39
256, 1596, 6.23
512, 3120, 6.09
1024, 6184, 6.04
2048, 12302, 6.01
4096, 24560, 6.00
8192, 48944, 5.97
16384, 97962, 5.98
128, 818, 6.39
256, 1592, 6.22
512, 3122, 6.10
1024, 6194, 6.05
2048, 12312, 6.01
4096, 24524, 5.99
8192, 49040, 5.99
16384, 97782, 5.97
128, 816, 6.38
256, 1598, 6.24
512, 3126, 6.11
1024, 6166, 6.02
2048, 12320, 6.02
4096, 24544, 5.99
8192, 48992, 5.98
16384, 98074, 5.99
128, 816, 6.38
256, 1592, 6.22
512, 3114, 6.08
1024, 6180, 6.04
2048, 12326, 6.02
4096, 24546, 5.99
8192, 49016, 5.98
16384, 98010, 5.98
128, 824, 6.44
256, 1590, 6.21
512, 3124, 6.10
1024, 6192, 6.05
2048, 12342, 6.03
4096, 24532, 5.99
8192, 48972, 5.98
16384, 97984, 5.98
128, 826, 6.45
256, 1592, 6.22
512, 3134, 6.12
1024, 6202, 6.06
2048, 12338, 6.02
4096, 24524, 5.99
8192, 49010, 5.98
16384, 97982, 5.98
128, 816, 6.38
256, 1592, 6.22
512, 3130, 6.11
1024, 6172, 6.03
2048, 12316, 6.01
4096, 24538, 5.99
8192, 49030, 5.99
16384, 97878, 5.97
