128, 764, 5.97
256, 660, 2.58
512, 1268, 2.48
1024, 2468, 2.41
2048, 4868, 2.38
4096, 9674, 2.36
8192, 19280, 2.35
16384, 38476, 2.35
128, 764, 5.97
256, 660, 2.58
512, 1266, 2.47
1024, 2466, 2.41
2048, 4862, 2.37
4096, 9666, 2.36
8192, 19286, 2.35
16384, 38482, 2.35
128, 772, 6.03
256, 660, 2.58
512, 1268, 2.48
1024, 2468, 2.41
2048, 4864, 2.38
4096, 9666, 2.36
8192, 19290, 2.35
16384, 38478, 2.35
128, 770, 6.02
256, 662, 2.59
512, 1268, 2.48
1024, 2468, 2.41
2048, 4866, 2.38
4096, 9664, 2.36
8192, 19274, 2.35
16384, 38468, 2.35
128, 766, 5.98
256, 660, 2.58
512, 1266, 2.47
1024, 2464, 2.41
2048, 4864, 2.38
4096, 9670, 2.36
8192, 19282, 2.35
16384, 38486, 2.35
128, 776, 6.06
256, 660, 2.58
512, 1264, 2.47
1024, 2462, 2.40
2048, 4862, 2.37
4096, 9674, 2.36
8192, 19284, 2.35
16384, 38494, 2.35
128, 766, 5.98
256, 666, 2.60
512, 1268, 2.48
1024, 2464, 2.41
2048, 4866, 2.38
4096, 9672, 2.36
8192, 19278, 2.35
16384, 38494, 2.35
128, 778, 6.08
256, 664, 2.59
512, 1270, 2.48
1024, 2468, 2.41
2048, 4866, 2.38
4096, 9668, 2.36
8192, 19292, 2.35
16384, 38474, 2.35
128, 772, 6.03
256, 662, 2.59
512, 1264, 2.47
1024, 2468, 2.41
2048, 4864, 2.38
4096, 9670, 2.36
8192, 19290, 2.35
16384, 38480, 2.35
128, 764, 5.97
256, 662, 2.59
512, 1266, 2.47
1024, 2468, 2.41
2048, 4864, 2.38
4096, 9672, 2.36
8192, 19300, 2.36
16384, 38482, 2.35
128, 770, 6.02
256, 662, 2.59
512, 1268, 2.48
1024, 2468, 2.41
2048, 4868, 2.38
4096, 9674, 2.36
8192, 19278, 2.35
16384, 38490, 2.35
