128, 402, 3.14
256, 786, 3.07
512, 654, 1.28
1024, 1248, 1.22
2048, 2442, 1.19
4096, 4820, 1.18
8192, 9568, 1.17
16384, 19094, 1.17
128, 400, 3.12
256, 788, 3.08
512, 652, 1.27
1024, 1248, 1.22
2048, 2440, 1.19
4096, 4814, 1.18
8192, 9570, 1.17
16384, 19096, 1.17
128, 404, 3.16
256, 792, 3.09
512, 654, 1.28
1024, 1252, 1.22
2048, 2444, 1.19
4096, 4814, 1.18
8192, 9572, 1.17
16384, 19092, 1.17
128, 406, 3.17
256, 790, 3.09
512, 654, 1.28
1024, 1246, 1.22
2048, 2440, 1.19
4096, 4814, 1.18
8192, 9576, 1.17
16384, 19096, 1.17
128, 402, 3.14
256, 790, 3.09
512, 658, 1.29
1024, 1248, 1.22
2048, 2438, 1.19
4096, 4816, 1.18
8192, 9572, 1.17
16384, 19092, 1.17
128, 400, 3.12
256, 788, 3.08
512, 656, 1.28
1024, 1248, 1.22
2048, 2446, 1.19
4096, 4816, 1.18
8192, 9570, 1.17
16384, 19102, 1.17
128, 406, 3.17
256, 792, 3.09
512, 656, 1.28
1024, 1248, 1.22
2048, 2438, 1.19
4096, 4818, 1.18
8192, 9572, 1.17
16384, 19104, 1.17
128, 402, 3.14
256, 784, 3.06
512, 654, 1.28
1024, 1252, 1.22
2048, 2442, 1.19
4096, 4814, 1.18
8192, 9564, 1.17
16384, 19098, 1.17
128, 398, 3.11
256, 788, 3.08
512, 656, 1.28
1024, 1252, 1.22
2048, 2438, 1.19
4096, 4818, 1.18
8192, 9570, 1.17
16384, 19098, 1.17
128, 396, 3.09
256, 788, 3.08
512, 656, 1.28
1024, 1250, 1.22
2048, 2442, 1.19
4096, 4814, 1.18
8192, 9568, 1.17
16384, 19098, 1.17
128, 398, 3.11
256, 784, 3.06
512, 654, 1.28
1024, 1248, 1.22
2048, 2442, 1.19
4096, 4818, 1.18
8192, 9574, 1.17
16384, 19094, 1.17
