128, 772, 6.03
256, 666, 2.60
512, 1272, 2.48
1024, 2472, 2.41
2048, 4878, 2.38
4096, 9694, 2.37
8192, 19332, 2.36
16384, 38562, 2.35
128, 780, 6.09
256, 660, 2.58
512, 1266, 2.47
1024, 2472, 2.41
2048, 4872, 2.38
4096, 9692, 2.37
8192, 19330, 2.36
16384, 38594, 2.36
128, 778, 6.08
256, 662, 2.59
512, 1266, 2.47
1024, 2470, 2.41
2048, 4872, 2.38
4096, 9686, 2.36
8192, 19346, 2.36
16384, 38582, 2.35
128, 776, 6.06
256, 666, 2.60
512, 1270, 2.48
1024, 2464, 2.41
2048, 4872, 2.38
4096, 9690, 2.37
8192, 19334, 2.36
16384, 38578, 2.35
128, 774, 6.05
256, 664, 2.59
512, 1274, 2.49
1024, 2468, 2.41
2048, 4868, 2.38
4096, 9692, 2.37
8192, 19342, 2.36
16384, 38582, 2.35
128, 776, 6.06
256, 660, 2.58
512, 1264, 2.47
1024, 2470, 2.41
2048, 4876, 2.38
4096, 9692, 2.37
8192, 19334, 2.36
16384, 38586, 2.36
128, 776, 6.06
256, 666, 2.60
512, 1266, 2.47
1024, 2468, 2.41
2048, 4874, 2.38
4096, 9686, 2.36
8192, 19326, 2.36
16384, 38578, 2.35
128, 772, 6.03
256, 666, 2.60
512, 1264, 2.47
1024, 2468, 2.41
2048, 4880, 2.38
4096, 9688, 2.37
8192, 19326, 2.36
16384, 38580, 2.35
128, 778, 6.08
256, 668, 2.61
512, 1268, 2.48
1024, 2470, 2.41
2048, 4872, 2.38
4096, 9692, 2.37
8192, 19326, 2.36
16384, 38588, 2.36
128, 778, 6.08
256, 668, 2.61
512, 1272, 2.48
1024, 2470, 2.41
2048, 4874, 2.38
4096, 9684, 2.36
8192, 19324, 2.36
16384, 38580, 2.35
128, 780, 6.09
256, 664, 2.59
512, 1268, 2.48
1024, 2466, 2.41
2048, 4878, 2.38
4096, 9690, 2.37
8192, 19342, 2.36
16384, 38600, 2.36
