128, 826, 6.45
256, 1580, 6.17
512, 3100, 6.05
1024, 6138, 5.99
2048, 12228, 5.97
4096, 24372, 5.95
8192, 48674, 5.94
16384, 97218, 5.93
128, 826, 6.45
256, 1580, 6.17
512, 3096, 6.05
1024, 6142, 6.00
2048, 12212, 5.96
4096, 24368, 5.95
8192, 48672, 5.94
16384, 97216, 5.93
128, 822, 6.42
256, 1576, 6.16
512, 3094, 6.04
1024, 6140, 6.00
2048, 12232, 5.97
4096, 24364, 5.95
8192, 48660, 5.94
16384, 97292, 5.94
128, 818, 6.39
256, 1580, 6.17
512, 3102, 6.06
1024, 6148, 6.00
2048, 12236, 5.97
4096, 24390, 5.95
8192, 48632, 5.94
16384, 97210, 5.93
128, 824, 6.44
256, 1576, 6.16
512, 3092, 6.04
1024, 6140, 6.00
2048, 12242, 5.98
4096, 24394, 5.96
8192, 48646, 5.94
16384, 97220, 5.93
128, 816, 6.38
256, 1578, 6.16
512, 3102, 6.06
1024, 6146, 6.00
2048, 12258, 5.99
4096, 24400, 5.96
8192, 48624, 5.94
16384, 97236, 5.93
128, 818, 6.39
256, 1576, 6.16
512, 3096, 6.05
1024, 6148, 6.00
2048, 12250, 5.98
4096, 24368, 5.95
8192, 48666, 5.94
16384, 97222, 5.93
128, 822, 6.42
256, 1584, 6.19
512, 3096, 6.05
1024, 6140, 6.00
2048, 12234, 5.97
4096, 24388, 5.95
8192, 48660, 5.94
16384, 97224, 5.93
128, 820, 6.41
256, 1580, 6.17
512, 3098, 6.05
1024, 6142, 6.00
2048, 12234, 5.97
4096, 24388, 5.95
8192, 48640, 5.94
16384, 97226, 5.93
128, 822, 6.42
256, 1580, 6.17
512, 3100, 6.05
1024, 6134, 5.99
2048, 12238, 5.98
4096, 24356, 5.95
8192, 48610, 5.93
16384, 97200, 5.93
128, 820, 6.41
256, 1578, 6.16
512, 3100, 6.05
1024, 6132, 5.99
2048, 12242, 5.98
4096, 24390, 5.95
8192, 48654, 5.94
16384, 97210, 5.93
