128, 826, 6.45
256, 1598, 6.24
512, 3114, 6.08
1024, 6190, 6.04
2048, 12344, 6.03
4096, 24560, 6.00
8192, 49030, 5.99
16384, 97988, 5.98
128, 826, 6.45
256, 1594, 6.23
512, 3130, 6.11
1024, 6194, 6.05
2048, 12354, 6.03
4096, 24550, 5.99
8192, 49062, 5.99
16384, 98070, 5.99
128, 822, 6.42
256, 1594, 6.23
512, 3110, 6.07
1024, 6202, 6.06
2048, 12334, 6.02
4096, 24542, 5.99
8192, 49042, 5.99
16384, 98098, 5.99
128, 824, 6.44
256, 1588, 6.20
512, 3118, 6.09
1024, 6194, 6.05
2048, 12364, 6.04
4096, 24556, 6.00
8192, 49044, 5.99
16384, 97968, 5.98
128, 826, 6.45
256, 1582, 6.18
512, 3128, 6.11
1024, 6182, 6.04
2048, 12348, 6.03
4096, 24564, 6.00
8192, 49036, 5.99
16384, 98066, 5.99
128, 828, 6.47
256, 1582, 6.18
512, 3116, 6.09
1024, 6194, 6.05
2048, 12324, 6.02
4096, 24550, 5.99
8192, 49040, 5.99
16384, 98116, 5.99
128, 828, 6.47
256, 1588, 6.20
512, 3114, 6.08
1024, 6188, 6.04
2048, 12346, 6.03
4096, 24590, 6.00
8192, 49088, 5.99
16384, 97930, 5.98
128, 824, 6.44
256, 1592, 6.22
512, 3114, 6.08
1024, 6180, 6.04
2048, 12344, 6.03
4096, 24562, 6.00
8192, 49046, 5.99
16384, 98020, 5.98
128, 830, 6.48
256, 1590, 6.21
512, 3116, 6.09
1024, 6184, 6.04
2048, 12342, 6.03
4096, 24576, 6.00
8192, 49076, 5.99
16384, 97900, 5.98
128, 820, 6.41
256, 1584, 6.19
512, 3120, 6.09
1024, 6194, 6.05
2048, 12336, 6.02
4096, 24588, 6.00
8192, 49106, 5.99
16384, 98082, 5.99
128, 826, 6.45
256, 1594, 6.23
512, 3116, 6.09
1024, 6190, 6.04
2048, 12352, 6.03
4096, 24526, 5.99
8192, 48984, 5.98
16384, 98072, 5.99
