128, 492, 3.84
256, 490, 1.91
512, 496, 0.97
1024, 924, 0.90
2048, 1780, 0.87
4096, 3514, 0.86
8192, 6954, 0.85
16384, 13840, 0.84
128, 494, 3.86
256, 492, 1.92
512, 494, 0.96
1024, 930, 0.91
2048, 1786, 0.87
4096, 3514, 0.86
8192, 6950, 0.85
16384, 13850, 0.85
128, 496, 3.88
256, 492, 1.92
512, 496, 0.97
1024, 924, 0.90
2048, 1784, 0.87
4096, 3508, 0.86
8192, 6952, 0.85
16384, 13852, 0.85
128, 490, 3.83
256, 496, 1.94
512, 494, 0.96
1024, 924, 0.90
2048, 1786, 0.87
4096, 3506, 0.86
8192, 6952, 0.85
16384, 13840, 0.84
128, 490, 3.83
256, 494, 1.93
512, 498, 0.97
1024, 926, 0.90
2048, 1800, 0.88
4096, 3514, 0.86
8192, 6950, 0.85
16384, 13834, 0.84
128, 492, 3.84
256, 490, 1.91
512, 496, 0.97
1024, 924, 0.90
2048, 1786, 0.87
4096, 3506, 0.86
8192, 6948, 0.85
16384, 13836, 0.84
128, 492, 3.84
256, 490, 1.91
512, 496, 0.97
1024, 928, 0.91
2048, 1776, 0.87
4096, 3516, 0.86
8192, 6946, 0.85
16384, 13836, 0.84
128, 500, 3.91
256, 496, 1.94
512, 496, 0.97
1024, 926, 0.90
2048, 1790, 0.87
4096, 3504, 0.86
8192, 6952, 0.85
16384, 13840, 0.84
128, 490, 3.83
256, 498, 1.95
512, 498, 0.97
1024, 928, 0.91
2048, 1784, 0.87
4096, 3512, 0.86
8192, 6942, 0.85
16384, 13838, 0.84
128, 488, 3.81
256, 490, 1.91
512, 496, 0.97
1024, 928, 0.91
2048, 1780, 0.87
4096, 3508, 0.86
8192, 6954, 0.85
16384, 13842, 0.84
128, 498, 3.89
256, 488, 1.91
512, 498, 0.97
1024, 920, 0.90
2048, 1788, 0.87
4096, 3506, 0.86
8192, 6948, 0.85
16384, 13852, 0.85
