128, 496, 3.88
256, 492, 1.92
512, 490, 0.96
1024, 930, 0.91
2048, 1792, 0.88
4096, 3528, 0.86
8192, 7026, 0.86
16384, 13974, 0.85
128, 494, 3.86
256, 496, 1.94
512, 492, 0.96
1024, 934, 0.91
2048, 1786, 0.87
4096, 3530, 0.86
8192, 7000, 0.85
16384, 13996, 0.85
128, 498, 3.89
256, 498, 1.95
512, 490, 0.96
1024, 926, 0.90
2048, 1804, 0.88
4096, 3534, 0.86
8192, 7000, 0.85
16384, 13958, 0.85
128, 492, 3.84
256, 498, 1.95
512, 498, 0.97
1024, 922, 0.90
2048, 1786, 0.87
4096, 3528, 0.86
8192, 6996, 0.85
16384, 13958, 0.85
128, 498, 3.89
256, 496, 1.94
512, 494, 0.96
1024, 930, 0.91
2048, 1794, 0.88
4096, 3532, 0.86
8192, 7012, 0.86
16384, 13978, 0.85
128, 496, 3.88
256, 500, 1.95
512, 488, 0.95
1024, 930, 0.91
2048, 1800, 0.88
4096, 3524, 0.86
8192, 7010, 0.86
16384, 13966, 0.85
128, 496, 3.88
256, 490, 1.91
512, 492, 0.96
1024, 916, 0.89
2048, 1788, 0.87
4096, 3524, 0.86
8192, 7014, 0.86
16384, 13982, 0.85
128, 498, 3.89
256, 492, 1.92
512, 490, 0.96
1024, 922, 0.90
2048, 1790, 0.87
4096, 3546, 0.87
8192, 7020, 0.86
16384, 13984, 0.85
128, 496, 3.88
256, 496, 1.94
512, 490, 0.96
1024, 928, 0.91
2048, 1802, 0.88
4096, 3532, 0.86
8192, 6996, 0.85
16384, 13992, 0.85
128, 494, 3.86
256, 492, 1.92
512, 488, 0.95
1024, 926, 0.90
2048, 1796, 0.88
4096, 3536, 0.86
8192, 7016, 0.86
16384, 13954, 0.85
128, 496, 3.88
256, 492, 1.92
512, 488, 0.95
1024, 922, 0.90
2048, 1794, 0.88
4096, 3532, 0.86
8192, 6998, 0.85
16384, 13966, 0.85
