128, 522, 4.08
256, 982, 3.84
512, 1896, 3.70
1024, 3740, 3.65
2048, 7428, 3.63
4096, 14832, 3.62
8192, 29562, 3.61
16384, 59058, 3.60
128, 522, 4.08
256, 978, 3.82
512, 1896, 3.70
1024, 3740, 3.65
2048, 7426, 3.63
4096, 14848, 3.62
8192, 29590, 3.61
16384, 59082, 3.61
128, 520, 4.06
256, 978, 3.82
512, 1902, 3.71
1024, 3742, 3.65
2048, 7420, 3.62
4096, 14822, 3.62
8192, 29578, 3.61
16384, 59060, 3.60
128, 518, 4.05
256, 980, 3.83
512, 1902, 3.71
1024, 3740, 3.65
2048, 7426, 3.63
4096, 14828, 3.62
8192, 29582, 3.61
16384, 59062, 3.60
128, 516, 4.03
256, 978, 3.82
512, 1906, 3.72
1024, 3740, 3.65
2048, 7424, 3.62
4096, 14830, 3.62
8192, 29592, 3.61
16384, 59072, 3.61
128, 520, 4.06
256, 986, 3.85
512, 1908, 3.73
1024, 3742, 3.65
2048, 7434, 3.63
4096, 14834, 3.62
8192, 29578, 3.61
16384, 59062, 3.60
128, 522, 4.08
256, 982, 3.84
512, 1900, 3.71
1024, 3740, 3.65
2048, 7416, 3.62
4096, 14822, 3.62
8192, 29552, 3.61
16384, 59070, 3.61
128, 522, 4.08
256, 982, 3.84
512, 1898, 3.71
1024, 3742, 3.65
2048, 7430, 3.63
4096, 14834, 3.62
8192, 29588, 3.61
16384, 59058, 3.60
128, 522, 4.08
256, 978, 3.82
512, 1904, 3.72
1024, 3742, 3.65
2048, 7424, 3.62
4096, 14830, 3.62
8192, 29600, 3.61
16384, 59060, 3.60
128, 518, 4.05
256, 982, 3.84
512, 1902, 3.71
1024, 3744, 3.66
2048, 7426, 3.63
4096, 14846, 3.62
8192, 29568, 3.61
16384, 59040, 3.60
128, 520, 4.06
256, 980, 3.83
512, 1902, 3.71
1024, 3746, 3.66
2048, 7428, 3.63
4096, 14830, 3.62
8192, 29570, 3.61
16384, 59058, 3.60
