128, 746, 5.83
256, 754, 2.95
512, 1442, 2.82
1024, 2820, 2.75
2048, 5586, 2.73
4096, 11112, 2.71
8192, 22190, 2.71
16384, 44294, 2.70
128, 742, 5.80
256, 756, 2.95
512, 1444, 2.82
1024, 2820, 2.75
2048, 5582, 2.73
4096, 11114, 2.71
8192, 22190, 2.71
16384, 44306, 2.70
128, 746, 5.83
256, 748, 2.92
512, 1444, 2.82
1024, 2824, 2.76
2048, 5590, 2.73
4096, 11116, 2.71
8192, 22194, 2.71
16384, 44298, 2.70
128, 742, 5.80
256, 754, 2.95
512, 1444, 2.82
1024, 2822, 2.76
2048, 5584, 2.73
4096, 11112, 2.71
8192, 22192, 2.71
16384, 44306, 2.70
128, 746, 5.83
256, 750, 2.93
512, 1442, 2.82
1024, 2820, 2.75
2048, 5582, 2.73
4096, 11118, 2.71
8192, 22190, 2.71
16384, 44290, 2.70
128, 744, 5.81
256, 756, 2.95
512, 1442, 2.82
1024, 2824, 2.76
2048, 5588, 2.73
4096, 11118, 2.71
8192, 22186, 2.71
16384, 44300, 2.70
128, 744, 5.81
256, 752, 2.94
512, 1442, 2.82
1024, 2826, 2.76
2048, 5586, 2.73
4096, 11116, 2.71
8192, 22182, 2.71
16384, 44296, 2.70
128, 746, 5.83
256, 750, 2.93
512, 1444, 2.82
1024, 2824, 2.76
2048, 5578, 2.72
4096, 11114, 2.71
8192, 22190, 2.71
16384, 44300, 2.70
128, 746, 5.83
256, 750, 2.93
512, 1442, 2.82
1024, 2820, 2.75
2048, 5586, 2.73
4096, 11112, 2.71
8192, 22192, 2.71
16384, 44302, 2.70
128, 748, 5.84
256, 752, 2.94
512, 1444, 2.82
1024, 2820, 2.75
2048, 5578, 2.72
4096, 11116, 2.71
8192, 22192, 2.71
16384, 44298, 2.70
128, 746, 5.83
256, 750, 2.93
512, 1442, 2.82
1024, 2842, 2.78
2048, 5582, 2.73
4096, 11118, 2.71
8192, 22192, 2.71
16384, 44298, 2.70
