128, 810, 6.33
256, 1566, 6.12
512, 3070, 6.00
1024, 6098, 5.96
2048, 12178, 5.95
4096, 24272, 5.93
8192, 48458, 5.92
16384, 96800, 5.91
128, 812, 6.34
256, 1570, 6.13
512, 3076, 6.01
1024, 6108, 5.96
2048, 12174, 5.94
4096, 24272, 5.93
8192, 48428, 5.91
16384, 96786, 5.91
128, 810, 6.33
256, 1566, 6.12
512, 3072, 6.00
1024, 6094, 5.95
2048, 12158, 5.94
4096, 24270, 5.93
8192, 48432, 5.91
16384, 96782, 5.91
128, 810, 6.33
256, 1564, 6.11
512, 3082, 6.02
1024, 6106, 5.96
2048, 12158, 5.94
4096, 24272, 5.93
8192, 48438, 5.91
16384, 96776, 5.91
128, 806, 6.30
256, 1566, 6.12
512, 3082, 6.02
1024, 6112, 5.97
2048, 12178, 5.95
4096, 24256, 5.92
8192, 48456, 5.92
16384, 96790, 5.91
128, 818, 6.39
256, 1564, 6.11
512, 3082, 6.02
1024, 6096, 5.95
2048, 12176, 5.95
4096, 24252, 5.92
8192, 48408, 5.91
16384, 96788, 5.91
128, 814, 6.36
256, 1562, 6.10
512, 3076, 6.01
1024, 6094, 5.95
2048, 12162, 5.94
4096, 24260, 5.92
8192, 48446, 5.91
16384, 96778, 5.91
128, 812, 6.34
256, 1564, 6.11
512, 3076, 6.01
1024, 6092, 5.95
2048, 12158, 5.94
4096, 24256, 5.92
8192, 48432, 5.91
16384, 96778, 5.91
128, 810, 6.33
256, 1568, 6.12
512, 3068, 5.99
1024, 6106, 5.96
2048, 12174, 5.94
4096, 24242, 5.92
8192, 48432, 5.91
16384, 96794, 5.91
128, 814, 6.36
256, 1566, 6.12
512, 3078, 6.01
1024, 6104, 5.96
2048, 12176, 5.95
4096, 24248, 5.92
8192, 48460, 5.92
16384, 96812, 5.91
128, 814, 6.36
256, 1562, 6.10
512, 3068, 5.99
1024, 6096, 5.95
2048, 12164, 5.94
4096, 24246, 5.92
8192, 48410, 5.91
16384, 96788, 5.91
