128, 1118, 8.73
256, 1122, 4.38
512, 1120, 2.19
1024, 1818, 1.78
2048, 3214, 1.57
4096, 6000, 1.46
8192, 11578, 1.41
16384, 22748, 1.39
128, 1124, 8.78
256, 1122, 4.38
512, 1126, 2.20
1024, 1820, 1.78
2048, 3214, 1.57
4096, 5996, 1.46
8192, 11580, 1.41
16384, 22740, 1.39
128, 1124, 8.78
256, 1124, 4.39
512, 1126, 2.20
1024, 1816, 1.77
2048, 3210, 1.57
4096, 6000, 1.46
8192, 11576, 1.41
16384, 22742, 1.39
128, 1118, 8.73
256, 1124, 4.39
512, 1122, 2.19
1024, 1816, 1.77
2048, 3214, 1.57
4096, 6000, 1.46
8192, 11578, 1.41
16384, 22738, 1.39
128, 1122, 8.77
256, 1116, 4.36
512, 1126, 2.20
1024, 1816, 1.77
2048, 3214, 1.57
4096, 5992, 1.46
8192, 11574, 1.41
16384, 22742, 1.39
128, 1124, 8.78
256, 1122, 4.38
512, 1126, 2.20
1024, 1834, 1.79
2048, 3214, 1.57
4096, 6000, 1.46
8192, 11568, 1.41
16384, 22762, 1.39
128, 1122, 8.77
256, 1120, 4.38
512, 1126, 2.20
1024, 1822, 1.78
2048, 3218, 1.57
4096, 6006, 1.47
8192, 11574, 1.41
16384, 22746, 1.39
128, 1110, 8.67
256, 1116, 4.36
512, 1122, 2.19
1024, 1822, 1.78
2048, 3206, 1.57
4096, 6002, 1.47
8192, 11572, 1.41
16384, 22738, 1.39
128, 1122, 8.77
256, 1126, 4.40
512, 1126, 2.20
1024, 1812, 1.77
2048, 3210, 1.57
4096, 6000, 1.46
8192, 11586, 1.41
16384, 22746, 1.39
128, 1122, 8.77
256, 1130, 4.41
512, 1126, 2.20
1024, 1818, 1.78
2048, 3210, 1.57
4096, 6006, 1.47
8192, 11582, 1.41
16384, 22746, 1.39
128, 1118, 8.73
256, 1120, 4.38
512, 1126, 2.20
1024, 1816, 1.77
2048, 3218, 1.57
4096, 6002, 1.47
8192, 11580, 1.41
16384, 22742, 1.39
