128, 1114, 8.70
256, 1112, 4.34
512, 1116, 2.18
1024, 1826, 1.78
2048, 3224, 1.57
4096, 6030, 1.47
8192, 11654, 1.42
16384, 22934, 1.40
128, 1116, 8.72
256, 1114, 4.35
512, 1118, 2.18
1024, 1820, 1.78
2048, 3220, 1.57
4096, 6038, 1.47
8192, 11656, 1.42
16384, 22924, 1.40
128, 1116, 8.72
256, 1118, 4.37
512, 1116, 2.18
1024, 1818, 1.78
2048, 3224, 1.57
4096, 6030, 1.47
8192, 11652, 1.42
16384, 22944, 1.40
128, 1114, 8.70
256, 1116, 4.36
512, 1112, 2.17
1024, 1816, 1.77
2048, 3222, 1.57
4096, 6034, 1.47
8192, 11648, 1.42
16384, 22936, 1.40
128, 1112, 8.69
256, 1112, 4.34
512, 1118, 2.18
1024, 1818, 1.78
2048, 3230, 1.58
4096, 6030, 1.47
8192, 11652, 1.42
16384, 22922, 1.40
128, 1114, 8.70
256, 1120, 4.38
512, 1116, 2.18
1024, 1820, 1.78
2048, 3220, 1.57
4096, 6024, 1.47
8192, 11654, 1.42
16384, 22924, 1.40
128, 1116, 8.72
256, 1112, 4.34
512, 1118, 2.18
1024, 1820, 1.78
2048, 3222, 1.57
4096, 6024, 1.47
8192, 11652, 1.42
16384, 22924, 1.40
128, 1116, 8.72
256, 1112, 4.34
512, 1120, 2.19
1024, 1818, 1.78
2048, 3226, 1.58
4096, 6030, 1.47
8192, 11658, 1.42
16384, 22928, 1.40
128, 1112, 8.69
256, 1116, 4.36
512, 1118, 2.18
1024, 1822, 1.78
2048, 3222, 1.57
4096, 6036, 1.47
8192, 11642, 1.42
16384, 22944, 1.40
128, 1114, 8.70
256, 1116, 4.36
512, 1116, 2.18
1024, 1828, 1.79
2048, 3224, 1.57
4096, 6028, 1.47
8192, 11642, 1.42
16384, 22922, 1.40
128, 1112, 8.69
256, 1112, 4.34
512, 1114, 2.18
1024, 1820, 1.78
2048, 3230, 1.58
4096, 6034, 1.47
8192, 11646, 1.42
16384, 22906, 1.40
