128, 1112, 8.69
256, 1106, 4.32
512, 1798, 3.51
1024, 3182, 3.11
2048, 5944, 2.90
4096, 11474, 2.80
8192, 22552, 2.75
16384, 44670, 2.73
128, 1118, 8.73
256, 1112, 4.34
512, 1798, 3.51
1024, 3188, 3.11
2048, 5942, 2.90
4096, 11470, 2.80
8192, 22562, 2.75
16384, 44650, 2.73
128, 1106, 8.64
256, 1120, 4.38
512, 1800, 3.52
1024, 3184, 3.11
2048, 5952, 2.91
4096, 11478, 2.80
8192, 22552, 2.75
16384, 44672, 2.73
128, 1108, 8.66
256, 1108, 4.33
512, 1802, 3.52
1024, 3184, 3.11
2048, 5948, 2.90
4096, 11482, 2.80
8192, 22550, 2.75
16384, 44666, 2.73
128, 1116, 8.72
256, 1110, 4.34
512, 1798, 3.51
1024, 3184, 3.11
2048, 5940, 2.90
4096, 11484, 2.80
8192, 22556, 2.75
16384, 44664, 2.73
128, 1112, 8.69
256, 1120, 4.38
512, 1810, 3.54
1024, 3182, 3.11
2048, 5948, 2.90
4096, 11474, 2.80
8192, 22550, 2.75
16384, 44664, 2.73
128, 1106, 8.64
256, 1106, 4.32
512, 1796, 3.51
1024, 3180, 3.11
2048, 5942, 2.90
4096, 11468, 2.80
8192, 22554, 2.75
16384, 44672, 2.73
128, 1112, 8.69
256, 1108, 4.33
512, 1800, 3.52
1024, 3184, 3.11
2048, 5952, 2.91
4096, 11478, 2.80
8192, 22566, 2.75
16384, 44654, 2.73
128, 1112, 8.69
256, 1114, 4.35
512, 1800, 3.52
1024, 3178, 3.10
2048, 5950, 2.91
4096, 11478, 2.80
8192, 22550, 2.75
16384, 44680, 2.73
128, 1108, 8.66
256, 1110, 4.34
512, 1802, 3.52
1024, 3180, 3.11
2048, 5946, 2.90
4096, 11472, 2.80
8192, 22552, 2.75
16384, 44676, 2.73
128, 1118, 8.73
256, 1118, 4.37
512, 1800, 3.52
1024, 3190, 3.12
2048, 5950, 2.91
4096, 11478, 2.80
8192, 22558, 2.75
16384, 44672, 2.73
