128, 1160, 9.06
256, 1910, 7.46
512, 3400, 6.64
1024, 6412, 6.26
2048, 12442, 6.08
4096, 24418, 5.96
8192, 48382, 5.91
16384, 96296, 5.88
128, 1166, 9.11
256, 1912, 7.47
512, 3404, 6.65
1024, 6410, 6.26
2048, 12430, 6.07
4096, 24380, 5.95
8192, 48406, 5.91
16384, 96326, 5.88
128, 1164, 9.09
256, 1918, 7.49
512, 3412, 6.66
1024, 6402, 6.25
2048, 12424, 6.07
4096, 24422, 5.96
8192, 48406, 5.91
16384, 96340, 5.88
128, 1168, 9.12
256, 1912, 7.47
512, 3414, 6.67
1024, 6406, 6.26
2048, 12426, 6.07
4096, 24378, 5.95
8192, 48382, 5.91
16384, 96302, 5.88
128, 1162, 9.08
256, 1918, 7.49
512, 3408, 6.66
1024, 6398, 6.25
2048, 12428, 6.07
4096, 24400, 5.96
8192, 48376, 5.91
16384, 96296, 5.88
128, 1166, 9.11
256, 1912, 7.47
512, 3406, 6.65
1024, 6402, 6.25
2048, 12432, 6.07
4096, 24434, 5.97
8192, 48386, 5.91
16384, 96378, 5.88
128, 1172, 9.16
256, 1914, 7.48
512, 3410, 6.66
1024, 6408, 6.26
2048, 12440, 6.07
4096, 24430, 5.96
8192, 48400, 5.91
16384, 96350, 5.88
128, 1162, 9.08
256, 1916, 7.48
512, 3402, 6.64
1024, 6398, 6.25
2048, 12430, 6.07
4096, 24414, 5.96
8192, 48400, 5.91
16384, 96378, 5.88
128, 1162, 9.08
256, 1914, 7.48
512, 3408, 6.66
1024, 6404, 6.25
2048, 12434, 6.07
4096, 24370, 5.95
8192, 48430, 5.91
16384, 96310, 5.88
128, 1168, 9.12
256, 1914, 7.48
512, 3404, 6.65
1024, 6412, 6.26
2048, 12404, 6.06
4096, 24428, 5.96
8192, 48374, 5.91
16384, 96232, 5.87
128, 1162, 9.08
256, 1912, 7.47
512, 3412, 6.66
1024, 6410, 6.26
2048, 12416, 6.06
4096, 24372, 5.95
8192, 48334, 5.90
16384, 96360, 5.88
