128, 1166, 9.11
256, 1918, 7.49
512, 3430, 6.70
1024, 6446, 6.29
2048, 12500, 6.10
4096, 24566, 6.00
8192, 48684, 5.94
16384, 96914, 5.92
128, 1166, 9.11
256, 1924, 7.52
512, 3426, 6.69
1024, 6438, 6.29
2048, 12502, 6.10
4096, 24568, 6.00
8192, 48710, 5.95
16384, 96940, 5.92
128, 1164, 9.09
256, 1922, 7.51
512, 3428, 6.70
1024, 6440, 6.29
2048, 12496, 6.10
4096, 24596, 6.00
8192, 48704, 5.95
16384, 96952, 5.92
128, 1170, 9.14
256, 1920, 7.50
512, 3424, 6.69
1024, 6438, 6.29
2048, 12498, 6.10
4096, 24580, 6.00
8192, 48690, 5.94
16384, 96946, 5.92
128, 1170, 9.14
256, 1922, 7.51
512, 3422, 6.68
1024, 6448, 6.30
2048, 12506, 6.11
4096, 24582, 6.00
8192, 48710, 5.95
16384, 96936, 5.92
128, 1164, 9.09
256, 1922, 7.51
512, 3430, 6.70
1024, 6444, 6.29
2048, 12494, 6.10
4096, 24570, 6.00
8192, 48682, 5.94
16384, 96956, 5.92
128, 1174, 9.17
256, 1922, 7.51
512, 3426, 6.69
1024, 6450, 6.30
2048, 12506, 6.11
4096, 24570, 6.00
8192, 48690, 5.94
16384, 96964, 5.92
128, 1172, 9.16
256, 1916, 7.48
512, 3422, 6.68
1024, 6438, 6.29
2048, 12502, 6.10
4096, 24582, 6.00
8192, 48696, 5.94
16384, 96958, 5.92
128, 1170, 9.14
256, 1920, 7.50
512, 3430, 6.70
1024, 6442, 6.29
2048, 12506, 6.11
4096, 24576, 6.00
8192, 48706, 5.95
16384, 96930, 5.92
128, 1170, 9.14
256, 1916, 7.48
512, 3430, 6.70
1024, 6436, 6.29
2048, 12490, 6.10
4096, 24572, 6.00
8192, 48694, 5.94
16384, 96926, 5.92
128, 1164, 9.09
256, 1918, 7.49
512, 3426, 6.69
1024, 6446, 6.29
2048, 12506, 6.11
4096, 24570, 6.00
8192, 48712, 5.95
16384, 96952, 5.92
