128, 3156, 24.66
256, 4892, 19.11
512, 8460, 16.52
1024, 15632, 15.27
2048, 29934, 14.62
4096, 58472, 14.28
8192, 115552, 14.11
16384, 229852, 14.03
128, 3166, 24.73
256, 4896, 19.12
512, 8450, 16.50
1024, 15614, 15.25
2048, 29912, 14.61
4096, 58420, 14.26
8192, 115560, 14.11
16384, 229692, 14.02
128, 3160, 24.69
256, 4898, 19.13
512, 8450, 16.50
1024, 15638, 15.27
2048, 29902, 14.60
4096, 58438, 14.27
8192, 115506, 14.10
16384, 229776, 14.02
128, 3156, 24.66
256, 4888, 19.09
512, 8452, 16.51
1024, 15626, 15.26
2048, 29882, 14.59
4096, 58442, 14.27
8192, 115560, 14.11
16384, 229738, 14.02
128, 3154, 24.64
256, 4902, 19.15
512, 8464, 16.53
1024, 15638, 15.27
2048, 29898, 14.60
4096, 58470, 14.27
8192, 115576, 14.11
16384, 229770, 14.02
128, 3158, 24.67
256, 4896, 19.12
512, 8466, 16.54
1024, 15630, 15.26
2048, 29884, 14.59
4096, 58448, 14.27
8192, 115532, 14.10
16384, 229786, 14.03
128, 3160, 24.69
256, 4890, 19.10
512, 8470, 16.54
1024, 15636, 15.27
2048, 29912, 14.61
4096, 58436, 14.27
8192, 115542, 14.10
16384, 229880, 14.03
128, 3162, 24.70
256, 4892, 19.11
512, 8462, 16.53
1024, 15638, 15.27
2048, 29892, 14.60
4096, 58416, 14.26
8192, 115550, 14.11
16384, 229762, 14.02
128, 3156, 24.66
256, 4896, 19.12
512, 8450, 16.50
1024, 15642, 15.28
2048, 29874, 14.59
4096, 58472, 14.28
8192, 115538, 14.10
16384, 229702, 14.02
128, 3166, 24.73
256, 4894, 19.12
512, 8464, 16.53
1024, 15650, 15.28
2048, 29890, 14.59
4096, 58458, 14.27
8192, 115558, 14.11
16384, 229796, 14.03
128, 3154, 24.64
256, 4898, 19.13
512, 8458, 16.52
1024, 15634, 15.27
2048, 29928, 14.61
4096, 58434, 14.27
8192, 115546, 14.10
16384, 229788, 14.03
