128, 2378, 18.58
256, 3560, 13.91
512, 5902, 11.53
1024, 11752, 11.48
2048, 23446, 11.45
4096, 46722, 11.41
8192, 92246, 11.26
16384, 184536, 11.26
128, 2382, 18.61
256, 3564, 13.92
512, 5884, 11.49
1024, 11720, 11.45
2048, 23390, 11.42
4096, 46766, 11.42
8192, 92322, 11.27
16384, 184588, 11.27
128, 2388, 18.66
256, 3564, 13.92
512, 5914, 11.55
1024, 11756, 11.48
2048, 23416, 11.43
4096, 46828, 11.43
8192, 92158, 11.25
16384, 184336, 11.25
128, 2378, 18.58
256, 3576, 13.97
512, 5898, 11.52
1024, 11752, 11.48
2048, 23390, 11.42
4096, 46712, 11.40
8192, 92394, 11.28
16384, 184482, 11.26
128, 2394, 18.70
256, 3546, 13.85
512, 5918, 11.56
1024, 11752, 11.48
2048, 23408, 11.43
4096, 46806, 11.43
8192, 92174, 11.25
16384, 184376, 11.25
128, 2398, 18.73
256, 3574, 13.96
512, 5926, 11.57
1024, 11696, 11.42
2048, 23416, 11.43
4096, 46760, 11.42
8192, 92254, 11.26
16384, 184502, 11.26
128, 2396, 18.72
256, 3576, 13.97
512, 5902, 11.53
1024, 11722, 11.45
2048, 23352, 11.40
4096, 46744, 11.41
8192, 92248, 11.26
16384, 184562, 11.26
128, 2384, 18.62
256, 3546, 13.85
512, 5896, 11.52
1024, 11768, 11.49
2048, 23396, 11.42
4096, 46800, 11.43
8192, 92318, 11.27
16384, 184398, 11.25
128, 2388, 18.66
256, 3558, 13.90
512, 5912, 11.55
1024, 11744, 11.47
2048, 23424, 11.44
4096, 46716, 11.41
8192, 92264, 11.26
16384, 184760, 11.28
128, 2380, 18.59
256, 3552, 13.88
512, 5902, 11.53
1024, 11730, 11.46
2048, 23378, 11.42
4096, 46778, 11.42
8192, 92322, 11.27
16384, 184656, 11.27
128, 2378, 18.58
256, 3548, 13.86
512, 5922, 11.57
1024, 11764, 11.49
2048, 23426, 11.44
4096, 46784, 11.42
8192, 92462, 11.29
16384, 184416, 11.26
