128, 2278, 17.80
256, 4532, 17.70
512, 9002, 17.58
1024, 16896, 16.50
2048, 32600, 15.92
4096, 64072, 15.64
8192, 127962, 15.62
16384, 255660, 15.60
128, 2278, 17.80
256, 4530, 17.70
512, 9020, 17.62
1024, 16880, 16.48
2048, 32588, 15.91
4096, 64102, 15.65
8192, 127928, 15.62
16384, 255836, 15.61
128, 2274, 17.77
256, 4526, 17.68
512, 8986, 17.55
1024, 16898, 16.50
2048, 32598, 15.92
4096, 64136, 15.66
8192, 128022, 15.63
16384, 255846, 15.62
128, 2272, 17.75
256, 4520, 17.66
512, 8978, 17.54
1024, 16886, 16.49
2048, 32614, 15.92
4096, 64092, 15.65
8192, 128050, 15.63
16384, 255724, 15.61
128, 2280, 17.81
256, 4522, 17.66
512, 9018, 17.61
1024, 16902, 16.51
2048, 32602, 15.92
4096, 64064, 15.64
8192, 127950, 15.62
16384, 255752, 15.61
128, 2278, 17.80
256, 4538, 17.73
512, 9000, 17.58
1024, 16886, 16.49
2048, 32592, 15.91
4096, 64132, 15.66
8192, 127948, 15.62
16384, 255870, 15.62
128, 2280, 17.81
256, 4516, 17.64
512, 9022, 17.62
1024, 16872, 16.48
2048, 32588, 15.91
4096, 64180, 15.67
8192, 128016, 15.63
16384, 255838, 15.62
128, 2280, 17.81
256, 4538, 17.73
512, 9014, 17.61
1024, 16906, 16.51
2048, 32602, 15.92
4096, 64112, 15.65
8192, 128010, 15.63
16384, 255844, 15.62
128, 2280, 17.81
256, 4522, 17.66
512, 8992, 17.56
1024, 16880, 16.48
2048, 32610, 15.92
4096, 64096, 15.65
8192, 127972, 15.62
16384, 255824, 15.61
128, 2282, 17.83
256, 4526, 17.68
512, 9000, 17.58
1024, 16890, 16.49
2048, 32614, 15.92
4096, 64060, 15.64
8192, 127960, 15.62
16384, 255844, 15.62
128, 2274, 17.77
256, 4524, 17.67
512, 9028, 17.63
1024, 16896, 16.50
2048, 32586, 15.91
4096, 64058, 15.64
8192, 127998, 15.62
16384, 255832, 15.61
