128, 172, 1.34
256, 308, 1.20
512, 602, 1.18
1024, 1066, 1.04
2048, 1950, 0.95
4096, 3704, 0.90
8192, 7220, 0.88
16384, 14222, 0.87
128, 172, 1.34
256, 332, 1.30
512, 604, 1.18
1024, 1064, 1.04
2048, 1948, 0.95
4096, 3694, 0.90
8192, 7190, 0.88
16384, 14244, 0.87
128, 174, 1.36
256, 310, 1.21
512, 606, 1.18
1024, 1070, 1.04
2048, 1936, 0.95
4096, 3702, 0.90
8192, 7208, 0.88
16384, 14280, 0.87
128, 174, 1.36
256, 310, 1.21
512, 602, 1.18
1024, 1066, 1.04
2048, 1936, 0.95
4096, 3692, 0.90
8192, 7202, 0.88
16384, 14228, 0.87
128, 174, 1.36
256, 310, 1.21
512, 604, 1.18
1024, 1066, 1.04
2048, 1944, 0.95
4096, 3694, 0.90
8192, 7214, 0.88
16384, 14186, 0.87
128, 176, 1.38
256, 306, 1.20
512, 602, 1.18
1024, 1072, 1.05
2048, 1946, 0.95
4096, 3692, 0.90
8192, 7192, 0.88
16384, 14244, 0.87
128, 174, 1.36
256, 308, 1.20
512, 602, 1.18
1024, 1060, 1.04
2048, 1944, 0.95
4096, 3712, 0.91
8192, 7214, 0.88
16384, 14218, 0.87
128, 170, 1.33
256, 306, 1.20
512, 602, 1.18
1024, 1070, 1.04
2048, 1948, 0.95
4096, 3710, 0.91
8192, 7212, 0.88
16384, 14236, 0.87
128, 176, 1.38
256, 306, 1.20
512, 602, 1.18
1024, 1068, 1.04
2048, 1952, 0.95
4096, 3692, 0.90
8192, 7208, 0.88
16384, 14288, 0.87
128, 176, 1.38
256, 310, 1.21
512, 602, 1.18
1024, 1072, 1.05
2048, 1942, 0.95
4096, 3686, 0.90
8192, 7204, 0.88
16384, 14222, 0.87
128, 176, 1.38
256, 308, 1.20
512, 602, 1.18
1024, 1060, 1.04
2048, 1946, 0.95
4096, 3702, 0.90
8192, 7212, 0.88
16384, 14248, 0.87
