128, 182, 1.42
256, 308, 1.20
512, 444, 0.87
1024, 720, 0.70
2048, 1270, 0.62
4096, 2372, 0.58
8192, 4574, 0.56
16384, 8988, 0.55
128, 182, 1.42
256, 306, 1.20
512, 438, 0.86
1024, 722, 0.71
2048, 1266, 0.62
4096, 2378, 0.58
8192, 4586, 0.56
16384, 8988, 0.55
128, 182, 1.42
256, 304, 1.19
512, 446, 0.87
1024, 722, 0.71
2048, 1268, 0.62
4096, 2376, 0.58
8192, 4582, 0.56
16384, 8982, 0.55
128, 182, 1.42
256, 306, 1.20
512, 448, 0.88
1024, 716, 0.70
2048, 1274, 0.62
4096, 2372, 0.58
8192, 4578, 0.56
16384, 9000, 0.55
128, 182, 1.42
256, 308, 1.20
512, 444, 0.87
1024, 724, 0.71
2048, 1266, 0.62
4096, 2384, 0.58
8192, 4572, 0.56
16384, 8998, 0.55
128, 180, 1.41
256, 306, 1.20
512, 444, 0.87
1024, 722, 0.71
2048, 1274, 0.62
4096, 2370, 0.58
8192, 4578, 0.56
16384, 8994, 0.55
128, 182, 1.42
256, 306, 1.20
512, 442, 0.86
1024, 722, 0.71
2048, 1264, 0.62
4096, 2376, 0.58
8192, 4578, 0.56
16384, 8984, 0.55
128, 180, 1.41
256, 306, 1.20
512, 446, 0.87
1024, 716, 0.70
2048, 1274, 0.62
4096, 2366, 0.58
8192, 4578, 0.56
16384, 8990, 0.55
128, 182, 1.42
256, 310, 1.21
512, 444, 0.87
1024, 720, 0.70
2048, 1272, 0.62
4096, 2374, 0.58
8192, 4576, 0.56
16384, 8986, 0.55
128, 182, 1.42
256, 306, 1.20
512, 444, 0.87
1024, 720, 0.70
2048, 1270, 0.62
4096, 2370, 0.58
8192, 4578, 0.56
16384, 8994, 0.55
128, 180, 1.41
256, 308, 1.20
512, 446, 0.87
1024, 720, 0.70
2048, 1274, 0.62
4096, 2368, 0.58
8192, 4578, 0.56
16384, 8984, 0.55
