128, 178, 1.39
256, 312, 1.22
512, 454, 0.89
1024, 726, 0.71
2048, 1270, 0.62
4096, 2382, 0.58
8192, 4578, 0.56
16384, 8978, 0.55
128, 180, 1.41
256, 312, 1.22
512, 450, 0.88
1024, 724, 0.71
2048, 1278, 0.62
4096, 2378, 0.58
8192, 4572, 0.56
16384, 8980, 0.55
128, 176, 1.38
256, 310, 1.21
512, 454, 0.89
1024, 722, 0.71
2048, 1266, 0.62
4096, 2370, 0.58
8192, 4568, 0.56
16384, 8984, 0.55
128, 180, 1.41
256, 314, 1.23
512, 448, 0.88
1024, 726, 0.71
2048, 1278, 0.62
4096, 2388, 0.58
8192, 4576, 0.56
16384, 8980, 0.55
128, 180, 1.41
256, 312, 1.22
512, 452, 0.88
1024, 726, 0.71
2048, 1276, 0.62
4096, 2366, 0.58
8192, 4578, 0.56
16384, 8986, 0.55
128, 174, 1.36
256, 310, 1.21
512, 452, 0.88
1024, 722, 0.71
2048, 1274, 0.62
4096, 2364, 0.58
8192, 4574, 0.56
16384, 8984, 0.55
128, 178, 1.39
256, 312, 1.22
512, 450, 0.88
1024, 722, 0.71
2048, 1270, 0.62
4096, 2378, 0.58
8192, 4580, 0.56
16384, 8974, 0.55
128, 176, 1.38
256, 312, 1.22
512, 450, 0.88
1024, 716, 0.70
2048, 1280, 0.62
4096, 2382, 0.58
8192, 4576, 0.56
16384, 8978, 0.55
128, 176, 1.38
256, 314, 1.23
512, 454, 0.89
1024, 724, 0.71
2048, 1266, 0.62
4096, 2370, 0.58
8192, 4580, 0.56
16384, 8974, 0.55
128, 176, 1.38
256, 308, 1.20
512, 442, 0.86
1024, 724, 0.71
2048, 1286, 0.63
4096, 2372, 0.58
8192, 4570, 0.56
16384, 8998, 0.55
128, 176, 1.38
256, 312, 1.22
512, 446, 0.87
1024, 734, 0.72
2048, 1284, 0.63
4096, 2382, 0.58
8192, 4580, 0.56
16384, 8978, 0.55
