128, 188, 1.47
256, 336, 1.31
512, 608, 1.19
1024, 1158, 1.13
2048, 2250, 1.10
4096, 4434, 1.08
8192, 8820, 1.08
16384, 17574, 1.07
128, 186, 1.45
256, 322, 1.26
512, 608, 1.19
1024, 1156, 1.13
2048, 2248, 1.10
4096, 4428, 1.08
8192, 8810, 1.08
16384, 17576, 1.07
128, 188, 1.47
256, 344, 1.34
512, 610, 1.19
1024, 1158, 1.13
2048, 2246, 1.10
4096, 4436, 1.08
8192, 8820, 1.08
16384, 17584, 1.07
128, 186, 1.45
256, 336, 1.31
512, 610, 1.19
1024, 1158, 1.13
2048, 2252, 1.10
4096, 4442, 1.08
8192, 8810, 1.08
16384, 17572, 1.07
128, 188, 1.47
256, 336, 1.31
512, 610, 1.19
1024, 1158, 1.13
2048, 2252, 1.10
4096, 4430, 1.08
8192, 8812, 1.08
16384, 17574, 1.07
128, 186, 1.45
256, 334, 1.30
512, 606, 1.18
1024, 1162, 1.13
2048, 2254, 1.10
4096, 4436, 1.08
8192, 8808, 1.08
16384, 17574, 1.07
128, 188, 1.47
256, 336, 1.31
512, 608, 1.19
1024, 1154, 1.13
2048, 2246, 1.10
4096, 4436, 1.08
8192, 8814, 1.08
16384, 17574, 1.07
128, 186, 1.45
256, 318, 1.24
512, 610, 1.19
1024, 1162, 1.13
2048, 2252, 1.10
4096, 4432, 1.08
8192, 8818, 1.08
16384, 17576, 1.07
128, 186, 1.45
256, 336, 1.31
512, 610, 1.19
1024, 1158, 1.13
2048, 2252, 1.10
4096, 4432, 1.08
8192, 8824, 1.08
16384, 17582, 1.07
128, 188, 1.47
256, 322, 1.26
512, 608, 1.19
1024, 1158, 1.13
2048, 2254, 1.10
4096, 4444, 1.08
8192, 8814, 1.08
16384, 17576, 1.07
128, 188, 1.47
256, 322, 1.26
512, 610, 1.19
1024, 1158, 1.13
2048, 2254, 1.10
4096, 4434, 1.08
8192, 8814, 1.08
16384, 17578, 1.07
