128, 2046, 15.98
256, 2180, 8.52
512, 3012, 5.88
1024, 4000, 3.91
2048, 5960, 2.91
4096, 9876, 2.41
8192, 17704, 2.16
16384, 33384, 2.04
128, 2048, 16.00
256, 2172, 8.48
512, 3014, 5.89
1024, 3998, 3.90
2048, 5958, 2.91
4096, 9874, 2.41
8192, 17714, 2.16
16384, 33406, 2.04
128, 2046, 15.98
256, 2174, 8.49
512, 3016, 5.89
1024, 3996, 3.90
2048, 5958, 2.91
4096, 9876, 2.41
8192, 17706, 2.16
16384, 33388, 2.04
128, 2042, 15.95
256, 2186, 8.54
512, 3008, 5.88
1024, 3998, 3.90
2048, 5966, 2.91
4096, 9878, 2.41
8192, 17716, 2.16
16384, 33404, 2.04
128, 2048, 16.00
256, 2172, 8.48
512, 3014, 5.89
1024, 3998, 3.90
2048, 5952, 2.91
4096, 9878, 2.41
8192, 17714, 2.16
16384, 33392, 2.04
128, 2044, 15.97
256, 2172, 8.48
512, 3010, 5.88
1024, 3996, 3.90
2048, 5956, 2.91
4096, 9886, 2.41
8192, 17720, 2.16
16384, 33382, 2.04
128, 2044, 15.97
256, 2176, 8.50
512, 3016, 5.89
1024, 4002, 3.91
2048, 5952, 2.91
4096, 9878, 2.41
8192, 17712, 2.16
16384, 33390, 2.04
128, 2040, 15.94
256, 2172, 8.48
512, 3022, 5.90
1024, 4002, 3.91
2048, 5958, 2.91
4096, 9878, 2.41
8192, 17712, 2.16
16384, 33396, 2.04
128, 2040, 15.94
256, 2174, 8.49
512, 3016, 5.89
1024, 4002, 3.91
2048, 5956, 2.91
4096, 9868, 2.41
8192, 17704, 2.16
16384, 33386, 2.04
128, 2052, 16.03
256, 2174, 8.49
512, 3012, 5.88
1024, 4000, 3.91
2048, 5962, 2.91
4096, 9870, 2.41
8192, 17704, 2.16
16384, 33388, 2.04
128, 2042, 15.95
256, 2174, 8.49
512, 3010, 5.88
1024, 3996, 3.90
2048, 5954, 2.91
4096, 9880, 2.41
8192, 17724, 2.16
16384, 33412, 2.04
