128, 974, 7.61
256, 1098, 4.29
512, 1234, 2.41
1024, 1512, 1.48
2048, 2066, 1.01
4096, 3174, 0.77
8192, 5384, 0.66
16384, 9818, 0.60
128, 964, 7.53
256, 1098, 4.29
512, 1234, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3174, 0.77
8192, 5386, 0.66
16384, 9826, 0.60
128, 968, 7.56
256, 1098, 4.29
512, 1236, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3174, 0.77
8192, 5386, 0.66
16384, 9820, 0.60
128, 964, 7.53
256, 1098, 4.29
512, 1236, 2.41
1024, 1512, 1.48
2048, 2066, 1.01
4096, 3172, 0.77
8192, 5388, 0.66
16384, 9830, 0.60
128, 972, 7.59
256, 1096, 4.28
512, 1238, 2.42
1024, 1512, 1.48
2048, 2064, 1.01
4096, 3172, 0.77
8192, 5394, 0.66
16384, 9822, 0.60
128, 966, 7.55
256, 1096, 4.28
512, 1238, 2.42
1024, 1512, 1.48
2048, 2064, 1.01
4096, 3176, 0.78
8192, 5384, 0.66
16384, 9816, 0.60
128, 972, 7.59
256, 1098, 4.29
512, 1236, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3176, 0.78
8192, 5386, 0.66
16384, 9822, 0.60
128, 964, 7.53
256, 1094, 4.27
512, 1232, 2.41
1024, 1514, 1.48
2048, 2068, 1.01
4096, 3174, 0.77
8192, 5388, 0.66
16384, 9830, 0.60
128, 966, 7.55
256, 1098, 4.29
512, 1236, 2.41
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3172, 0.77
8192, 5388, 0.66
16384, 9824, 0.60
128, 966, 7.55
256, 1096, 4.28
512, 1234, 2.41
1024, 1510, 1.47
2048, 2068, 1.01
4096, 3172, 0.77
8192, 5388, 0.66
16384, 9828, 0.60
128, 964, 7.53
256, 1098, 4.29
512, 1230, 2.40
1024, 1512, 1.48
2048, 2068, 1.01
4096, 3172, 0.77
8192, 5388, 0.66
16384, 9820, 0.60
